kriol	english
bastimap	terrific
bastindap	ruined
bat	but
bata	butter
batin	button
baudan	bow
bausheid	shelter
baut	boat
baya	fire
baya	firewood
baya tri	firetree
bayam	buy
bayastik	firestick
bayawud	firewood
be:d	bird
be:d	masked
be:d	plover
be:dbe:d	bird
be:dibe:di	little bird
be:dnes	bird’s nest
bebak	paperbark
bebal	navel
bed	bad
bed	bed
bed	bird
bed	nest
bed	bedroll
bed	camp
bedfiling	bad feelings
bedfren	enemy
bedkol	cold
bedkol	head cold
bedkol	runny nose
bedkol	nasal
bedlak	bad luck
bednyus	bad news
bedsik	be very sick
beg	bag
begimap	bag
beibi	baby
beibi	infant
beibidaga	baby food
beibikraitaim	early morning
beibitaim	infancy
beibiwan	infantile
beibiwei	childishly
beig	bag
beigim	bake
beikin	baking
beikinpauda	baking powder
beingksaid	bank
beingkwei	bank
beingkwei	riverbank
beit	bait
beja	feather
bek	back
bekat	back out
bekat	reverse
bekbon	back
bekbon	backbone
bekbon	spine
bekbongija	back-to-back
bekimap	backup
bekimap	support
beko	backhoe
bekpat	back
bekpat	nape of neck
bekwedswei	backwards
bel	bell
beldim	belt
beldim	whip
beldri	corkwood
beli	abdomen
beli	belly
beli	stomach
beli	tummy
belt	belt
bempaiya	vampire
bendibendi	snake species
bendigut	bandicoot
bendigut	mouse
bendigut	rat
bendij	bandage
bendijimap	bandage
bendim	bend
bendim	straighten
bendiwan	bent
bendiwan	curved
bengk roba	bank robber
bengsiya	banksia
beptais	baptise
beptaisim	baptise
berd	bird
berdiberdi	bird
berdiberdi	bird species
bern	burn
bernam	burn
bernamap	burn
bernap	be burnt
bernapwan	burnt
berndap	burn
bernim	burn
bernimap	burn
berrim	bury
berrimap	bury
berrit	buried
berrit	covered
berrit	be
berrit	be covered up
bes	best
bet	bat
bet	fat
bet	plump
bethdei	birthday
betlin	battle
betri	battery
biligen	billycan
biligen	billy
biligen	big
biligen	cup
biligen	mug
biligout	billy goat
biligut plam	billygoat plum
bewulf	werewolf
beya	bear
bi	be
bi	bee
bi	exist
bi	fly
bi	bees
bi	flies
bi:k	beak
biNga	hand
bib	beef
bib	flesh
bib	meat
biba	fever
bibi	breast
bibi	breast milk
bibi	caterpillar
bibim	hit
bibim	pop
bibj	beach
bida	bitter
bidabat	feed on
bidim	beat
bidim	win
bidrum	spread out
bif	flesh
bif	meat
bif	weight
bif	beef
bif	game
bifo	before
bifo	in the past
bifo	the day before
big	big
big	fat
big	large
bigadam	forget
bigbala	boss
bigbala	eldest
bigbigwan	big
bigbigwan	large
bigibigi	pig
bigimap	pick up
bigin	pick
biginini	baby
biginini	child
biginini	kid
biginini	offspring
biginini	toddler
bigis	very big
bigis	important
bigmaus	talkative person
bigmob	many
bigmob	much
bigmob	big mob
bigmob	crowd
bigmob	big
bigmob	mob
bigoj	because
bigsan	eldest son
bigstom	storm
bij	fish
bijidimbat	visit
bijin	pigeon
bijin	Creole
bijin	pidgin
bijin inglij	Creole
bijin inglij	pidgin
bijing	fish
bijitim	visit
bijnet	fishnet
bijok	fish hawk
bijuman	bitumen
biki	biscuit
biknik	picnic
bikos	because
bildim	build
bildim	make
bildimap	build up
bildimap	help
bildimap	save
bildimap	saved
bili	billy
bilib	believe
bilibim	believe
bilibim	obey
bilibong	billabong
bilim	feel
bilimap	fill
bilimap	fill up
bilyid	billiards
bilyid	pool
bin	bean
bin	been
bina	could have
bina	would have
binabeg	spinifex
binana	banana
bindiyai	bindi-eye
bindiyai	prickle
bindiyai	sticker
bindiyai	prickles
bindiyai	thorn
bingga	finger
bingga	hand
bingga	lower arm
bingga	forearm
bingga	wing
bingga	arm
bingga	branch
bingga	lower
bingganeil	fingernail
bingk	pink
binij	complete
binij	die
binij	end
binij	finish
binij	that’s all
binij	the end
binijim	complete
binijim	exhaust
binijim	finish
binijimap	finish
binijimap	use up
binijimap	finish up
binijimof	finish
binijimof	use up
binijlain	finish line
binja	hair
binji	belly
binji	intestines
binji	stomach
binji	undercarriage
binjigija	facing each other
binjim	pinch
binjim	press
binjimof	finish
binjing	fence
birridak	wood duck
birrim	spear
bisi	busy
biskit	biscuit
bisnis	ceremony
bitawan	bitter
bitj	beach
bitj	bitch
biya	alcohol
biya	beer
biyad	beard
biyad	chin
biyad	moustache
biyad	whiskers
biyain	after
biyain	behind
biyain	later
biyain	around
biyain	backwards
biyainpat	stern
biyainwei	after
biyainwei	behind
biyainwei	later
bla	about
bla	belong to
bla	for
bla	of
bla	so that
blad	blood
blad	vein
bladat	fast
bladim	plait
blading	plaiting
bladwoda	flood
bladwud	Black
bladwud	bloodwood
blai	bee
blai	fly
blain	blind
blainai	blind
blaing skwirrel	sugar glider
blainwan ai	blind person
blaiwei	fly away
blajbala	proud
blakam	block
blakam	prevent
blakamap	block
blakamap	prevent
blanbo	flying fox
blanbo	aeroplane
blanbo	angel
blanbo	small
blanbo	red
blanda	about
blanda	belong to
blanda	for
blanda	of
blandi	plenty
blandim	hide
blandim	plant
blanga	about
blanga	belong to
blanga	for
blanga	of
blanga	belonging to
blanga	one’s own
blanga hu	whose
blanga wanim	why
blangit	blanket
blant	blunt
blas	proud
blatnim	flatten
blau	whose
blawa	flour
blawabeg	grey hair
bleidpat	blade
bleim	accuse
bleim	blame
bleim	inform against
bleimim	accuse
bleimim	blame
blein gabarra	bald head
bleingkit	blanket
bleiyim	blame
blek	black
blek bod	blackboard
blek krela	red-tailed black cockatoo
blek krela	cockatoo
blek plam	blackcurrant
blekbala	aborigine
blekbala	Aboriginal
blekbala	man
blekbat	blackbutt
blekberi	blackberry
blekbrim	black bream
blekhed sneik	black-headed python
blekkaran	blackcurrant
bleksoil	black soil
bleksoil	plain
blekwan	black
blekwan	dark
blekwan	to be
blekwan bod	blackboard
blenggid irriwul	lizard
blesidwan	blessed
blet	blunt
blet	flat
blidim	bleed
blidin	bleed
blidinim	bleed
blijiman	policeman
blijimanmob	police
blo	blow
blo	floor
bloap	blow up
bloim	blow
bloimap	blow up
blok	block
blokim	block
blombat	blow
blouk	bloke
blouk	man
blout	float
blowap	blow up
blowim	blow
blowin	breathe
blowum	blow
blu	blue
blu:n	balloon
bludang	lizard
bludang	blue-tongue lizard
bluin	breathe
bluinbluin	puffing
bo	about
bo	belong to
bo	for
bo	of
boa	bore
boa	four
bobala	pity
bobala	poor fellow
bobo	goodbye
bodam	bottom
bodam	down
bodamwan	bottom
bodamwan	lower
bodi	body
bodipat	body
bodji	dented
bodji	sporty
bodl	bottle
bodo	photo
bodo	picture
boeba	forever
bog	bog
bog	dew
bog	fog
bogabain	echidna
bogabain	porcupine
boget	forget
bogi	baptise
bogi	bath
bogi	bathe
bogi	boggy
bogi	shower
bogi	swim
bogi	wash
bogi	play
bogi	go swimming
bogi	dive
bogi graun	wet ground
bogi graun	spring
bogibat	swim
bogiples	boggy place
boi	boy
boi	young man
boi	Aboriginal
boi	man
boi	son
boi	young
boifren	boyfriend
boil	boil
boil	big
boil	sore
boila	abcess
boila	boil
