meaning	kriol	english_gloss
19636471	lilisid	waterlily fruit
19639015	lilisid	waterlily seed
37562318	lilisid	lilyseed
37561780	lilwan	a little (bit)
19638709	lirrga	lizard (blue-tongue reptile species)
19637441	lisid	inedible lizard
37561675	lodan	down (river)
37563715	lodan	lower : from lower down
19638706	loklok	lizard (reptile species)
19636296	longnek te:tul	turtle (long-necked fish species)
37563043	longtaim	long time (ago)
19636281	longtom	long tom (fish species)
37562168	longwei	long way long way
19638094	lotitja	important owner
19640730	lubra	Aboriginal woman
19634867	lumbuk	pigeon (bird species)
19638314	mabultri	tree (Alphitonia exoelsis plant species)
19638329	mabultri	tree (marble plant species)
37563416	mabultri	tree : ’Marble tree’
19636207	madfait	mud fight
19636273	madkod	cod (mud fish species)
19638359	magabala	yam (bush plant species)
19640533	mailawik	mayla week
19640534	mailawik	non-pension week
37563501	maindim	look after a person
19637080	majblai	fly (march insect species)
37561256	mak	to put a mark
37563488	mak	cut (oneself)
19636282	malat	mullet (fish species)
19638317	malawarra	tree (bush fruit plant species)
37563453	malawarra	fruit from bush
37563453	malawarra	like pear
19637761	mami	mother’s cousin
37561522	mami	mother’s brother or sister
37562220	mami	uncle or aunt - sibling of mother
37562312	mani	money notes
37564138	mani	money (coin)
19637576	manimen	man with money
19636284	marlabangu	mussel (freshwater fish species)
37561555	marlabangu	Norman River grunter
37562726	marlabangu	fish : Norman River grunter
19635007	marluga	old boss
19640486	marramarra	waterlily pod
19639438	marrayin	song (particular)
19638265	marrunggun	bush fruit (plant species)
19636283	masul	mussel (fish species)
19638328	menggo	tree (mango plant species)
19635330	medisin	chemical liquid
19634794	megpai	butcherbird (bird species)
19634849	megpai	magpie (bird species)
27829527	megpai	Cracticus tibicen
27909333	megpai	Australian bird, ''Gymnorhina tibicen''
37564237	megpai	Butchers Bird
19638327	meinggo	tree (mango plant species)
19640474	meinwoda	permanent water
19639221	meit	similar person
19638690	menida	crocodile (saltwater reptile species)
37562577	menida	salt water - man-eater
19634453	mikibul	bull (young animal species)
19637698	milgi	milky coloured
37563052	milkim	to milk
19640211	milktri	Excoecaria parvifolia
19640211	milktri	Excoecaria parvifolia (tree species)
19640218	milktri	milkwood (tree species)
19636115	mistam	fail to find
19640381	modiga rod	vehicular track
19638713	molobondok	lizard (swelled-headed dragon reptile species)
19638288	morrhe	green plum like
19638288	morrhe	green plum like (plant species)
19638323	moyi	tree (green plum plant species)
19634857	mukmuk	owl (mopoke bird species)
19638698	mulabanda	gecko (reptile species)
19638303	mulalu	root (edible plant species)
19640676	mulungwa	wild blackfellow
37561197	mun	curl grub - lava of Black beetle
37563566	mun	curl grub
19638263	murrunggan	blackcurrant (plant species)
19637809	myusik	musik
37564184	naitaim	yesterday in the afternoon or evening
19634784	naitaul	boobook owl
19634784	naitaul	boobook owl (bird species)
19634883	naitaul	tawny frogmouth (bird species)
37564196	naitaul	owl : night owl
19634852	naitingeil	nightingale (bird species)
37563751	naja	another : another two
37563751	naja	another woman
19638061	najaboi	other boy
37562381	najalot	another lot
37562574	najalot	other lot
37562576	najan	other : the other one
37562974	najasaid	other side of
37563756	najasaid	other side (of river)
19634517	najawei	another means
19637918	najing rong	nothing wrong
19637916	naka	not yours
19636907	nakim	hit once
19635639	nambafo	cross legs
37561628	nambawan	great (figurative sense)
37562043	nebal	umbilica
19634789	neidib kompenyan	brolga (bird species)
19634875	neidib kompenyan	sarus crane (bird species)
19638318	neilbush	tree (bushy plant species)
37561248	neim	name of person or place
19640701	nek	window struts
37562078	nek	hollow at back or base of skull
37562579	nek	hollow at back at base of skull
37561950	nenigout	also sheep
37561167	nes	antlion’s pit
19637220	ngabirnini	kinship relationship
19636274	ngaladarra	(coloured scales) (fish species)
37561510	ngamuri	son’s child
37563144	ngamuri	grandchild - paternal (son’s child)
37563144	ngamuri	grandchild - paternal
37564031	ngamuri	grandfather - father’s father
19640579	ngangi	what’s this (question)
19636039	ngar	erect (penis)
27853668	ngarlmarr	cavity beneath the junction of the arm and shoulder
19637980	ngarni	okay (question)
19635550	ngi	correct (question)
37562250	ngi	isn’t it?
37562657	ngi	isn’t it? (tag question)
19638354	ngurridin	wild banana (plant species)
37563138	nigilij	grass sp. with purple flower (’necklace’)
19634820	nin nin	finch (double barred bird species)
37562604	nin nin	double barred
37562646	nogudbinji	feel worried
37561836	nogudwan	bitter (taste)
37561836	nogudwan	dangerous or savage (of animals and crocodiles)
37561836	nogudwan	dangerous or savage
37561836	nogudwan	brackish (water)
37564119	nogudwan	make someone no good
37564119	nogudwan	sick of you
37563282	nokap	tired - to be
19636466	nos	front of vehicle
37561402	nos	point of a hill
19637060	nyapaja	old in-law
37563962	obajea	from that way
19634816	ok	eagle (bird species)
19634834	ok	hawk (bird species)
19638242	ol	RAAF plane
19639972	olabatwei	their way
37562668	olawei	for ever; right up
37561794	olbala	falling apart (of things)
19637994	olbalawei	old way
37562668	olbit	for ever; right up
19637989	olendeis ka:	old model car
19640734	olgamenwan	of or relating to women
19636926	olidei	go for holiday
37562668	oligija	for ever; right up
37561099	olkain	frog (generic)
37561135	olkain	any snake (generic)
37561135	olkain	any snake
19634397	olkainabawei	all kinds of ways
37561794	olwan	falling apart (of things)
19638089	ononwei	own way
19639817	opinim	tap switch on light
19640273	opinimap	turn on (machine)
19639969	orla	the (plural)
19637337	orlorlong	whole lenght
19634472	os	horse (animal species)
27898008	os	members of the species ''Equus ferus''
19634853	ostritj	ostrich (bird species)
19640210	painwud	Erythropleum chlorostachyum (tree species)
19634692	pajam	beat (in a race)
19637744	pajam	have more
19638299	panapul	pineapple (plant species)
37561635	pappap	tame dog
37563698	pappap	little or tame
19638477	parralaisim	prevent action
37562742	pedul	paddle (a canoe)
19638157	peideiwik	pay week
37562312	peipa	money notes
19638330	peipabak	tree (paperbark plant species)
37562312	peipabak	money notes
19638158	peiwik	pay week
19634860	perrit	parrot (bird species)
19636287	perritfis	parrot fish (fish species)
19638146	petj	patch of vines
19638183	pidjein	no permission
19634868	pijin	pigeon (bird species)
37563531	pijin	Dove : Bar-shouldered
19634863	pikok	peacock (bird species)
19638307	pinapek	spinifex (plant species)
19636579	pinij	go completely
19634851	piwi	magpie lark (bird species)
19634479	plein keinggarru	kangaroo (red animal species)
19640176	plisboi	Aboriginal tracker
19638406	plistrega	police tracker
19635231	poka	card game: poker
19634466	pokipain	echidna (animal species)
19638298	popo	pawpaw (plant species)
27926314	posam	any of the marsupials in several families of the order Diprotodontia of Australia and neighboring islands
37561929	posam	ring-tailed possum
37561929	posam	brush-tailed possum
37561963	posam	spotted one; ring tailed possum
37564155	posam	ring-tailed
37562472	posam daga	possum tucker
19635720	predimat	deal (cards)
37563317	presim	squash with the hand
37563317	presim	press something in
19639456	prik	brolga sound
19638268	prikli tri	Carissa lanceolata
19638268	prikli tri	Carissa lanceolata (plant species)
37562850	prikli tri	prickly tree
19638497	pruf	have proof
19638411	pul	pool (billiards)
37564100	puldan	fall down drop down
19637081	pulijmen flai	fly-like (insect species)
37562773	pulum	tryo to pull
37562903	purum	spill something
37563394	pushum	push in (coals)
37563394	pushum	push together into a heap
19634455	pusiket	cat (domestic animal species)
19635427	pusiket	clubs (card suit)
19638300	putato	potato (plant species)
19638312	pwima tri	tree (plant species)
19637525	rabish	low status person
27961335	rabish	adult female human being
19636263	raiful fish	archer fish (fish species)
19638715	rambi rambi	snake (brown tree reptile species)
19638873	ranin abat	run frequently
19638843	raun	round (of cards)
37561778	raunwan	circular (like hat)
37561826	raunwan	type of rock which is flat and round
37562581	raunwan	rock type
37562581	raunwan	flat and round
19634487	rebit	rabbit (animal species)
19638349	red lili	Triglochin procerae
19638349	red lili	Triglochin procerae (plant species)
19638351	red lili	waterlily (red plant species)
19637068	redant	ant (red insect species)
37561214	redant	reddish ant
19638641	redap	reared up
37561623	redwan	red (stone)
19638656	redyela	red and yellow
19634841	reinbe:d	koel (bird species)
19634871	reinbe:d	rainbird (bird species)
19634890	reinbe:d	wood swallow (bird species)
37564114	reinbe:d	Black-faced Wood
19635765	reintaim rod	wet season detour
37561762	reinwoda	fresh rain water
19636093	reito	expression of agreement
19634891	ren	wren (bird species)
19634568	reng	arsehole (offensive)
37563787	restim	make oneself secure
19634488	ret	rat (animal species)
19640220	riba wisling tri	river oak
19640220	riba wisling tri	river oak (tree species)
19634496	riba wolabi	wallaby (animal species)
37561955	riba wolabi	river wallaby
37561955	riba wolabi	sandy or agile wallaby
37562225	riba wolabi	river- (sandy or agile wallaby)
19635205	rijap	established camp
37563220	ringap	put up (of tent)
37563221	ringap	put up (tent)
37564161	ringap	put up a tent
19634873	robin	robin (bird species)
19634491	rok kantri blanbo	sugar glider (animal species)
19634467	rok keinggurru	euro (animal species)
19634483	rok keinggurru	Macropus robustus
19634483	rok keinggurru	Macropus robustus (animal species)
19634504	rok keinggurru	wallaroo (animal species)
19636286	rok kod	northern carp
19636286	rok kod	northern carp (fish species)
19636293	rok kod	sleepy cod (fish species)
37561535	rok kod	Northern carp-gudgeon
37561550	rok kod	rock cod (poss. mud cod?)
37563158	rok kod	cod : rock cod
37563793	rok kod	carp-gudgeon
37564121	rok kod	cod : rock (poss. mud cod)
37564121	rok kod	cod : rock
19634485	rok wolabi	Petrogale wilkinsi
19634485	rok wolabi	Petrogale wilkinsi (animal species)
19634501	rok wolabi	wallaby (rock animal species)
19637609	rongsaid	wrong marriage
19637613	rongsaidbala	one who is married wrongly
19638090	ronwei	own way
19638264	roptri	Buchaniana oberata
19638264	roptri	Buchaniana oberata (plant species)
19638287	roptri	green plum (plant species)
19638333	roptri	tree (rope plant species)
37563496	roptri	rope tree
19637509	rorrimap	make loud noise
19636019	rorring	engine sound
37564185	rorring	thunder(ing)
19638304	runggai	root (edible plant species)
19637242	sabibalawei	knowledgably
19636710	sailin gan	silenced gun
19640207	saipris	Cyperus decompositum
19640207	saipris	Cyperus decompositum (tree species)
19640208	saipris	cypress (tree species)
19640214	saipris	Hibiscus radiatus
19640214	saipris	Hibiscus radiatus (tree species)
19640215	saipris	Hibiscus zonatus
19640215	saipris	Hibiscus zonatus (tree species)
19636272	saladoda	catfish (fish species)
19636288	saladoda	Queensland barramundi
19636288	saladoda	Queensland barramundi (fish species)
19636290	saladoda	saratoda
19636290	saladoda	saratoda (fish species)
37561560	saladoda	like barramundi
37561561	saladoda	Saratoda (Queensland barramundi)
37561561	saladoda	Saratoda
19637358	samaram	draw level with level
37561514	san	woman’s brother’s son
37561526	san	man’s child
37561526	san	woman’s brother’s child
37562470	san	child of man or of woman’s brother
19638702	sanrij gowena	goanna (sand ridge reptile species)
19638923	sanrij gowena	sand ridge goanna
19636050	sapataim	evening meal time
19638935	seidilaig	satan(?)
19639665	selingleidi	female storekeeper
19637087	senflai	sandfly (insect species)
19638693	senfrog	frog (sand reptile species)
37563792	senfrog	frog : sand frog
37561405	sengraun	sand ground
37561441	sengraun	real sand
37562246	sengraun	sand (real sand)
19636584	senrij gowena	sand ridge goanna
19638703	senrij gowena	goanna (sand ridge reptile species)
19637076	sentapid	centipede (insect species)
37561614	shabala	of spears
37561614	shabala	scorpion tail etc.
19639146	shadan	be shot down
19639147	shadap	be shot down
37562620	shadimap	shut (a door)
19639109	shainimbek	shine light at
37561388	shainiwan	quartz (n.)
37561388	shainiwan	dazzling (adj.)
37564096	shainiwan	shiny dazzling (adj.)
37564096	shainiwan	shiny dazzling
37561565	shak	shark (freshwater)
37561565	shak	whaler shark
27854977	shat	the action of trying at something
37564147	sheid	shady tree
37564147	sheiditri	shady tree
37562554	sheim	go down (of sun)
37561127	shel	spiral shell from spring (Kookaburra shell Ch)
37563652	shel	from spring
37563588	shiftim	move (something) about
37562327	shil	shield for fighting
37562327	shil	had handles
37561640	sholda	shoulder and upper arm
37564187	sholda	upper arm and shoulder
19637766	shopa	large motor bike
19639140	shotkatwei	short cut way
37561570	shotwan	crayfish sp. short and black
37563441	shotwan	crayfish sp. : short and black
37564169	shotwan	teatrea
37564169	shotwan	short sp.
37564301	shotwin	be shortwinded
37564344	shotwin	to be breathless
19637070	shugabeig flai	bee (native insect species)
19634452	sibo	bull (Cebu animal species)
19635126	sibo	Cebu bull
19639012	sidpat	seed part
19634876	sigal	seagull (bird species)
19634878	sigal	swallow (bird species)
19634881	sigal	swift (bird species)
37562778	sigal	sea birds
37563139	sik	sick. wasting away
19640101	siliptaim	time for sleeping
37563080	singat	shrill (of cicadas)
37563080	singat	buzz (of large bee)
19639159	singatbek	shout back
37564106	singim	sing someone
19634671	singulmen	batchelor
19638278	siwid	eel grass (plant species)
19635898	skaiti	dressed well
37561231	skin	skin group
37561996	skin	’skin’ group’
37563139	skini	sick. wasting away
37563383	skinim	take out all seeds from lilyseed
19635161	skrab	small bushes
37563202	skwisim	press with hand
19639337	slaida	slippery slide
19639327	slaiswais	into slices
37561831	slekwan	of axehead - comes out as soon as you chop a tree
37562636	slekwan	slack (loose, of axehead) slack
37562636	slekwan	slack slack
37562636	slekwan	of axehead -comes out as soon as you chopp a tree
37561782	slobala	slow(ly)
37561782	slobala	soft(ly)
37561782	slobala	weak(ly)
37561782	slobala	quiet(ly)
37562146	smelim	have a smell or odour
37561410	smok	smoke from fire
19638280	smoktri	Eucalyptus pruinesa
19638280	smoktri	Eucalyptus pruinesa (plant species)
19638334	smoktri	tree (smoke plant species)
37561135	sneik	any snake (generic)
37561135	sneik	any snake
19636295	sodfish	swordfish (fish species)
37561782	sofwan	slow(ly)
37561782	sofwan	soft(ly)
37561782	sofwan	weak(ly)
37561782	sofwan	quiet(ly)
37561823	sofwan	as of witchetty grub
19638907	soltipat	salty part
37562577	solwoda	salt water - man-eater
37562614	spirrim	spear something
19639439	songmen	songman
19638339	soptri	tree (wattle plant species)
37561658	spel	have a rest or a spell (break)
37562362	spel	have a rest or spell (break)
37562903	spilim	spill something
37563345	spilim	tip outwards
37562968	spredat	spread (hand, fingers)
37562966	spredimat	cut and spread out animal body
19638605	springkl	rain slightly
19634877	spunbil	spoonbill (bird species)
37563219	spunbil	Yellow Billed and Royal
37561449	sta	stars (a pair?)
37563637	sta	stars (a pair)
19636479	stak	be full to overflowing
19639709	stakam	make something get ... stuck
37562501	stap	lie (tell lie)
19635375	stik	clap sticks
37561241	stik	clapsticks
37561241	stik	beating sticks
37562691	stik	tree (generic)
19636208	stik fait	stick fight
19636496	stik fait	kind of game
19637078	stingerei	dragonfly (insect species)
37562146	stinggi	have a smell or odour
19636294	stingrei	stingray (fish species)
19639635	stokkemp	stock camp
19634783	stombe:d	blue-winged kookaburra (bird species)
19634858	stombe:d	oystercatcher (bird species)
19634879	stombe:d	swallow (bird species)
19634882	stombe:d	swift (bird species)
37564168	stombe:d	Storm; Oyster catchers
37564235	stombe:d	Blue-winged
37561414	ston	ordinary stone
37561414	ston	sloping stone
37563000	ston	ordinary or sloping
37563419	ston	small stone (agate)
19634477	ston keinggurru	kangaroo (antelope animal species)
19634482	ston keinggurru	Macropus antilopinus
19634482	ston keinggurru	Macropus antilopinus (animal species)
37561927	ston keinggurru	stone kangaroo
19639647	stonaben	stone oven
19636658	stoni kantri	gravel country
19636684	stoni kantri	gravelly ground
37561807	streitwan	good (or smooth barked tree)
37562781	streitwan	straight (of smooth barked tree)
37562373	string	used for making spear
19638336	stringibak	tree (stringybark plant species)
37561622	strongbala	solid one
37561622	strongbala	hard (of wind)
37562232	strongbala	big (man)
37561632	strongwan	strong(ly)
37561632	strongwan	loud(ly)
19636935	sugabeg	native honey
19634880	suwan	swan (bird species)
37561996	swet	’skin’ group’
37563267	swet	skin group
19638308	swit purteida	sweet potato (plant species)
19639907	switti	tea,sweetened
37561620	switwan	not bitter
37561830	switwan	lots of taste
37561428	taid	moving water
37563337	taimap	tie something
19638718	taipen	snake (taipan reptile species)
19635116	taiyimap	buckle (seat belts)
19638337	tamaring	tree (tamarind plant species)
19636498	tarltarl	knife throwing game
19634791	tarrgi	bustard (bird species)
19634884	tarrgi	turkey (bird species)
37562754	tarrgi	Turkey : Plain Turkey or Bustard
19634966	tatu	body cuts
19634493	te:dl	turtle (animal species)
19634885	te:ki	turkey (bird species)
19634821	tedulhok	fire bird (bird species)
19634823	tedulhok	fish hawk (bird species)
19634839	tedulhok	kitehawk (bird species)
37564058	tedulhok	hawk : ’kite hawk’
19639846	teikinap	be taken up
27948902	teil	appendage of an animal
37561996	teist	’skin’ group’
37563267	teist	skin group
37562572	terrimap	rip something
19634492	tetul	turtle (animal species)
37563303	tharran	that (one)
37564023	tharran	that one (erg.)
37563927	throt	throat of bird
19637697	tin milk	tinned milk
19640170	tin trak	toy truck
19636854	ting	expression of) (hesitation
19638293	titri	Melaleuca alsophila
19638293	titri	Melaleuca alsophila (plant species)
19638338	titri	tree (tea-tree plant species)
37564169	titri	teatrea
37564169	titri	short sp.
19635307	tjatj	(police) charge
19638043	tjensim	give opportunity
19640169	toitit	toy teeth
37562179	tok	speak (to someone)
37563016	tok	speak a language
19639854	tok akros	talk across
19639855	tok ebriwei	talk at once
19636013	trai	endeavour to
37562156	trai	tray (to)
19635272	trakin yad	cattle yard
37562691	tri	tree (generic)
19635234	trikkard	card game type
19640224	trisaid	treeside
19638719	trisneik	snake (tree snake reptile species)
37561122	trisneik	yellow tree snake
37562676	trisneik	snake - yellow tree snake
19640281	tubob	twenty cents
19640287	tubob	two shillings
19640286	tumanttaim	in two months
19635232	tungkaj	card game term
19640288	tuwiktaim	in two weeks time
37563959	u	relative conjunction
19637140	uruk	jabiru sound
19640573	wadaim	what time (question)
19640595	wadaim	when (question)
19640651	wadbo	why (question)
37562691	wadi	tree (generic)
37563547	wadi	branch of tree or shrub
19638251	wadul	Acacia terulesa
19638251	wadul	Acacia terulesa (plant species)
19638340	wadul	tree (wattle plant species)
19638271	waguwagu	Casuarina cunninghamiana (plant species)
19638331	waguwagu	tree (river oak plant species)
37564037	waguwagu	River Oak
19640652	wai	why (question)
19637088	waident	termite (insect species)
19637089	waident	white ant (insect species)
19638295	wail anyan	onion (wild plant species)
19638343	wail binana	tree (wild banana plant species)
19634459	wail dog	dingo (animal species)
19634460	wail dog	dog (wild animal species)
37561916	wail dog	greyhound dog
37561916	wail dog	like greyhound
19634825	wail faul	fowl (wild bird species)
19635251	wail gusaba	wild cassava
19638270	wail gusaba	cassava (wild plant species)
19639746	wail juga	wild sugar
19634781	wail juk	black cormorant
19634781	wail juk	black cormorant (bird species)
19635439	wail kokonat	wild coconut
19638344	wail kokonat	tree (wild coconut plant species)
19638292	wail meinggo	mango (wild plant species)
19638294	wail melin	melon (wild plant species)
19638301	wail piteta	potato (wild plant species)
19638302	wail rais	rice (wild plant species)
19638306	wail rais	sc: Oryza rufipegan
19638306	wail rais	sc: Oryza rufipegan (plant species)
19638362	wail yem	yam (wild plant species)
19638341	wait gamtri	tree (white gum plant species)
19634817	wait hok	eagle (whistling bird species)
19634887	wait hok	whistling eagle (bird species)
19638276	wait karant	currant (white plant species)
19638353	wait karant	white currant (plant species)
37561792	waitwan	really white or light coloured - even to pinkish
37563327	waitwan	to be white
37564186	waitwan	fork-tailed and square-tailed kites
19638335	waitwud	tree ((?)smoke plant species)
19638342	waitwud	tree (white wood plant species)
37562465	waiya	spear : wire spear
37562465	waiya spiya	spear : wire spear
19640653	wajameda	why (question)
19634806	wakwak	crow (bird species)
27873491	wakwak	any bird of the genus ''Corvus''
19635233	wanai	card game term
19636499	wanai	cards game term
37562785	wanbala	only a little bit
19640563	wanem	what (question)
27960099	wani	interrogative pronoun
19640564	wanim	what (question)
27960099	wanim	interrogative pronoun
19640654	wanim blanga	why (question)
19638234	wanpleis	a certain place
19635792	wansaid	different route
19635793	wansaid	different way or group
19638022	wanwiktaim	in one week
19636079	wara	exclamation
19636585	wardabirr	sand ridge goanna
19638704	wardabirr	goanna (sand ridge reptile species)
19638352	wardimelen	watermelon (plant species)
19636631	warlmbarl	gossip(?)
19634486	warngugu	Petrogale wilkinsi
19634486	warngugu	Petrogale wilkinsi (animal species)
19634502	warngugu	wallaby (rock animal species)
19640655	watfo	why (question)
19640568	wodabat	what about (question)
19635839	we:di	expression of) (distaste
19640601	wea	where (question)
37563979	wea	where (at)
37563503	weks	used in spear making
19634861	welai	parrot (green bird species)
37561197	wem	curl grub - lava of Black beetle
37563566	wem	curl grub
37563959	wen	relative conjunction
19636099	werdei	expression of pleasure
19640774	werte	wrong way
19636100	wetinimat	extinguise fire
37561796	wetwan	really wet
37561810	wetwan	wet (of tree, person or clothes)
27960244	weya	at what place; to what place; from what place
37563959	weya	relative conjunction
19638036	wigimap	open ground oven
27960555	wijei	to which place
19637090	wijidi	witchety grub
19637090	wijidi	witchety grub (insect species)
37561782	wikbala	slow(ly)
37561782	wikbala	soft(ly)
37561782	wikbala	weak(ly)
37561782	wikbala	quiet(ly)
37563915	wikbala	can’t walk
19634888	wiliwegteil	willy-wagtail (bird species)
37564281	wiliwegteil	Northern Shrike-tit
19638721	wip sinik	snake (whip snake reptile species)
27857388	wiska	facial hair
37561559	wiska	feelers of crayfish etc.
19637937	wislingtri	river oak
19638272	wislingtri	Casurina cunninghamiana
19638272	wislingtri	Casurina cunninghamiana (plant species)
19638332	wislingtri	tree (river oak plant species)
19634886	wisuldak	whistle duck
19634886	wisuldak	whistle duck (bird species)
19640537	witbiks	WeetBix
27959307	woda	clear liquid H₂O
37562268	woda	not moving
19637071	wodabidul	beetle (water insect species)
19637401	wodalili	lily seed
19638350	wodalili	waterlily (plant species)
19634489	wodaret	rat (water animal species)
37562626	wodaret	rat : water-rat
19638720	wodasneik	snake (water snake reptile species)
19634497	wolabi	wallaby (animal species)
19638248	wolabi daga	plant eaten by wallabies
19640434	wolabi daga	wallaby food
19638377	worde	expression of) (pleasure
19640566	wot	what (question)
27960099	wot	interrogative pronoun
19640570	wot blanga	What for (question)
19640582	wot dijan bla	what’s this for (question)
19640580	wot dijanda	what’s this (question)
19640581	wot disda	what’s this (question)
19640576	wot tharran da	what’s that (question)
19640597	wotaim	when (question)
27960228	wotaim	direct question
19640575	wotakolum	what-d’ye-call-it
19640577	wotdijan	what’s the word
19640577	wotdijan	what’s the word (question)
19640656	wotfo	why (question)
19640578	wotna	what’s the word
19640578	wotna	what’s the word (question)
19640657	wotrong	why (question)
19640658	wotrong	why not (question)
19638378	wudi	expression of) (pleasure
19640606	wujei	where (question)
37563978	wujei	where (to)
37563979	wujei	where (at)
19638279	wulibak tri	Eucalyptus papuana
19638279	wulibak tri	Eucalyptus papuana (plant species)
19638347	wulibak tri	tree (woolly butt plant species)
27961335	wuman	adult female human being
27961335	wumun	adult female human being
37561198	wunbun	big hornet
37561198	wunbun	Emerald wasp
37561209	wunbun	Mottled cup moth
19637141	wuruk	jabiru sound
19635183	yad	caged area
19636192	yad	fenced area
19640783	yadim	put in yard
19638595	yadimap	put quotes in
19640784	yadimap	put in yard
37562304	yadimap	yard up something
19635475	yakkai	come off it!
19639013	yalbun	waterlily seed pod
37562318	yalbun	lilyseed
19640822	yangsan	young son
19637981	yaraba	okay for you
19638313	yarl	tree (plant species)
19638357	yarlma	yam (plant species)
19634473	yarraman	horse (animal species)
27898008	yarraman	members of the species ''Equus ferus''
19638363	yarwok	yam (wild plant species)
19634474	yawarda	horse (animal species)
27898008	yawarda	members of the species ''Equus ferus''
19634313	yelabala	part Aboriginal
19640792	yelapat	yellow part
37561790	yelawan	yellow one
19638309	yelawud tri	Terminalia canescens
19638309	yelawud tri	Terminalia canescens (plant species)
19638348	yelawud tri	tree (yellow-wood plant species)
37563746	yelawud tri	gum of that tree
19638305	yem	root vegetable (plant species)
19638358	yem	yam (plant species)
19637364	yemstik	lice stick
37564184	yestadei	yesterday in the afternoon or evening
19640810	yubala	you (plural)
19640811	yumob	you (plural)
19635853	yunda	do you want ... (question)
19640809	yunowot	you know what (question)
27829527	bujabed	Cracticus tibicen
27863075	bujabed	Cracticus
27909333	bujabed	Australian bird, ''Gymnorhina tibicen''
27899251	aibis	Threskiornithid
27912770	telefonn portab	portable telephone
27912770	portab	portable telephone
27912770	mobayl	portable telephone
27961335	olgumen	adult female human being
19639289	Ngarritjan	skin group
19639729	Ngarritjan	female sub-section
37562646	sedwan	feel worried
37563842	milk sneik	snake lizard (prob.)
37563842	milk sneik	snake lizard
37561064	senrij gwena	sand ridge goanna
37562210	senrij gwena	goanna - sand ridge
37563850	senrij gwena	goanna : sand ridge goanna
37561065	langa wadi	in trees
37561065	lilwan ebriweya	in trees
37563903	fail sneik	snake : file snake
37561067	gabilili	striped (skin) lizard
37561067	gabilili	striped lizard
37561068	gabilili	small skink(s)
37561068	gabilili	small skink
37561077	gabilili	any sort of lizard
37563936	gabilili	skink : small skinks
37563938	gabilili	striped (skin)
37563950	gabilili	lizard : any sort
37561067	lijad	striped (skin) lizard
37561067	lijad	striped lizard
37563938	lijad	striped (skin)
37563172	baibul sneik	snake : rock snake
37561071	wankain sneik	lit. no hair on body
37561084	wankain sneik	snake sp. all colours
37562569	wankain sneik	snake : children’s python
37563201	wankain sneik	snake : rock snake
37561071	la ston	lit. no hair on body
37563201	la ston	snake : rock snake
37561072	stingki tadul	stinking turtle
37561072	stingki tadul	smelly turtle
37562117	stingki tadul	smelly turtle (Emydura sp.)
37562136	stingki tadul	Emydura sp.
37562524	stingki tadul	turtle : smelly turtle
37563256	stingki tadul	turtle : stinking turtle
37561073	smolwan gwena	small rock goanna
37561073	smolwan gwena	with spiny tail
37562118	smolwan gwena	Varanus acanthurus
37563276	smolwan gwena	goanna - small rock goanna
37563276	smolwan gwena	with spiny tail (Varanus acanthurus)
37561073	jidan la rok	small rock goanna
37561073	jidan la rok	with spiny tail
37562118	jidan la rok	Varanus acanthurus
37563276	jidan la rok	goanna - small rock goanna
37563276	jidan la rok	with spiny tail (Varanus acanthurus)
37563294	blenggit lijad	lizard : frilled
37563968	bilanggid lijad	lizard : frilled
37561077	olkain lijad	any sort of lizard
37563950	olkain lijad	lizard : any sort
37561080	biges gwena	Spencer’s goanna
37562134	biges gwena	Varanus gouldi
37563581	biges gwena	goanna - sand goanna
37563989	biges gwena	goanna - Spencer’s goanna
37564094	biges gwena	Spencer’s
37561081	lilwan lijad	copper tailed skink(s) and common grass skinks
37564001	lilwan lijad	skink(s)
37564001	lilwan lijad	copper tailed and common grass
37561136	wankain lijad	gecko; lizard; yellow lizard
37561136	wankain lijad	gecko; blanket lizard
37562354	wankain lijad	lizard sp.
37562354	wankain lijad	poss. gecko
37562354	wankain lijad	or blanket lizard
37564028	wankain lijad	dragon (lizard) - two lined
37561083	poisin sneik	poison snake
37561083	poisin sneik	tree sp for firestick
37561083	poisin sneik	also snake sp.
37561111	poisin sneik	long one
37561111	poisin sneik	same colour as bandiyan
37561111	poisin sneik	poisonous/dangerous
37562946	poisin sneik	brown like bandiyan
37564059	poisin sneik	snake : poisonous sp.
37561084	redwan binji	snake sp. all colours
37561084	gudwan bif	snake sp. all colours
37561089	bigwan tadul	big turtle
37561090	shotwan nek	big turtle
37563792	nardi	frog : sand frog
37561094	biges frog	big frog
37561095	biges frog	brown colour
37561096	grinwan frog	big green frog
37561101	grinwan frog	green frog (green on back)
37562709	grinwan frog	frog : green tree frog
37563044	grinwan frog	green on back
37561096	la tri	big green frog
37562709	la tri	frog : green tree frog
37561097	lilwan braunwan frog	little brown frog at billabongs
37562738	lilwan braunwan frog	little brown one at billabongs
37561097	la bilibong	little brown frog at billabongs
37562738	la bilibong	little brown one at billabongs
37561098	olkain frog	any kind of frog
37561102	praba bigwan frog	big/little brown frog
37561102	braunwan	big/little brown frog
37561111	braunwan	poison snake
37561111	braunwan	long one
37561111	braunwan	same colour as bandiyan
37561111	braunwan	poisonous/dangerous
37561612	braunwan	chestnut coloured (hair)
37562946	braunwan	brown like bandiyan
37563208	braunwan	Greycrowned
37561105	bigwan raunwan frog	big round frog
