meaning	kriol	english_gloss
19638692	blengid lijid	frilled neck lizard
19638692	blengid lijid	frilled neck lizard (reptile species)
19639126	blomapblomap	shoot up drugs
19634947	blombat	blow (didgeridoo)
19634948	blowum	blow (of wind)
19634831	blu kren	great-billed and white-necked herons (mangrove herons) (bird species)
19638707	bludang	lizard (blue tongue reptile species)
27860151	bludang	any of several species of skink
19636095	bobala	expression of empathy
37561600	bobala	expression of nostalgia
37561600	bobala	self-pity etc.
37561675	bodam	down (river)
19634465	bogabain	echidna (animal species)
37563478	bogabain	echidna (porcupine)
37562292	bogi	play (in water)
37561381	bogi graun	soaked ground
37561516	boi	woman’s son
37561516	boi	man’s sister’s son
37561529	boi	woman’s child
37561529	boi	man’s sister’s child
37562398	boi	daughter of woman or of a man’s sister
19634668	boi binji	barren womb
37562100	boil	big boil
37563182	boilap	bubble up (of spring)
19635069	boimilk	underdeveloped breast
19636888	bojiwan	hippie-like
19638282	bololo	fruit (plant species)
19636268	bonbij	bony bream (fish species)
19636277	bonbij	eel (fish species)
19636267	bonpis	bone fish (fish species)
19638355	borlorlo	wild passionfruit (plant species)
37561913	bosmen	boss man
19634599	brabawan domiauk	steel axe
19638939	brabli	expression of satisfaction
19637221	bratha	kinship term
37563196	breigim	break?
37563291	breigim	bust with hand (as egg)
37563291	breigim	bust with hand
37563291	breigim	break with hand
37563322	breigim	snap something
37563322	breigim	break by pulling
37561256	brend	to put a mark
37563488	brendim	cut (oneself)
19637816	brengija	mutual friends
19636269	brim	bream (fish species)
37561566	brim	young barramundi
19634786	brolga	brolga (bird species)
19634874	brolga	sarus crane (bird species)
27862093	brolga	an Australian crane
37564140	brolga	Brolga and Sarus Crane
19634450	brudbrud	bandicoot (animal species)
19634484	brudbrud	mouse (animal species)
27856434	brudbrud	small marsupial
27913862	brudbrud	rodent of the genus ''Mus''
19636382	budeik	footache
19634792	bujabe:d	butcher bird (bird species)
19634848	bujabe:d	magpie (bird species)
37564237	bujabe:d	Butchers Bird
37561775	bujigat	native cat (totem)
19635130	bulak weigan	bullock wagon
19638275	bulangkanga	currant (white plant species)
37563924	bulap binji	satiated with food
19635129	buldas	bulldust
19638101	buligi rod	cattle pad
19635264	bulketjing	bull catching
19638708	buludang	lizard (blue tongue reptile species)
37561065	buludang	in trees
37562127	buludang	blue tongued lizard Tuligua scincoides
37562575	buludang	blue-tongued
37564092	bulumat	pull something away from someone
37564092	bulumwei	pull something away from someone
19638289	bulwadi	lancewood-like tree
19638289	bulwadi	lancewood-like tree (plant species)
37563718	bulwadi	bull waddy
19634615	bumbumwei	to or past backside
19639014	bundin	water lily seed
19635561	bunggul	non-sacred corroboree
27943355	burdagul	long stick with a sharp tip
19634862	burdiperit	parrot (small green bird species)
37562384	burdiperit	parrot : green parrot
19636373	bus daga	bush food
19638356	bush purteida	yam (plant species)
19634505	bushmen	untamed animal
19638187	bushmen	uncivilised person
19638077	butbolgran	playing oval
19634340	butek	foot ache
19634793	butjabed	butcher bird (bird species)
19634810	dab	dove (bird species)
19634866	dab	pigeon (bird species)
19640744	dabul tok	reduplicated word
19635640	dabulum	cross limb
19636160	dadi	father’s brothers
37561069	dadiwan	really big crocodile
37561069	dadiwan	’father one’
37563933	dadiwan	really big
37562622	dagat	enjoy eating
19634805	daibadak	cormorant (bird species)
19634807	daibadak	darter (bird species)
37563169	daibadak	Pied or Little Black
19634813	daibindak	duck type
19634813	daibindak	duck type (bird species)
19634811	dak	duck (bird species)
19634812	dakdak	duck (bird species)
37563361	dakdak	Grebe : Australian Little
37563361	dakdak	and Hoary-headed
37562179	dalim	speak (to someone)
19636278	dalmidalmi	eel (fish species)
19638694	danda	gecko (reptile species)
37561136	danda	gecko; lizard; yellow lizard
37561136	danda	gecko; blanket lizard
37562354	danda	lizard sp.
37562354	danda	poss. gecko
37562354	danda	or blanket lizard
37563225	danim	turn (something) over
37562481	danimran	turn something around
37563225	danimran	turn (something) over
37563999	dastim	take out from fire
37563999	dastim	sweep dust away
19639383	debada	death adder (snake species)
19635769	debul aiwei	devil’s highway
19637085	debul debul	praying mantis (insect species)
19640275	definimap	turn up sound
37563446	deigimap	take up : take something up
37564070	deigimat	take out from the fire
37564070	deigimat	remove from fire
19634448	derribang	trepang (animal (sea) species)
19634448	derribang	trepang (animal species)
37562419	detlot	that lot
19634915	dibul kila	wild blackfellow
19634778	dibulbe:d	bat-eared cuckoo
19634778	dibulbe:d	bat-eared cuckoo (bird species)
37562652	dibulbe:d	Bat-eared
19634779	dibuldibul	bat-eared cuckoo
19634779	dibuldibul	bat-eared cuckoo (bird species)
19637086	dibuldibul	praying mantis (insect species)
37562652	dibuldibul	Bat-eared
19634844	didibaba	large waders
19634844	didibaba	large waders (bird species)
19634846	didibaba	lotus bird (bird species)
37563332	didibaba	Large Waders
37562809	digim	poke around for
37563313	digim	dig (for yams)
19640035	dijaidwan	this side one
19636614	dijan	really good
37563728	dijan	this (fem.)
19635778	dijaridu	didjeridu
19636615	dijawei	really good
27897245	dijei	to here
19638311	dilyarr	tree (plant species)
19634469	dinga	flying fox (animal species)
19634457	dinggo	dingo (animal species)
27877764	dinggo	wild dog native to Australia
37561916	dinggo	greyhound dog
37561916	dinggo	like greyhound
19636616	dinjimap	really good
19634845	dirdibawuba	large waders
19634845	dirdibawuba	large waders (bird species)
19634847	dirdibawuba	lotus bird (bird species)
37563332	dirdibawuba	Large Waders
19634782	diwait	black duck (bird species)
19635698	diya	dangerous (ceromony)
19637023	diya	important (ceremony)
27879156	dog	animal
19639543	dojim	spotlight; shine a torch on
