kriol	english
berdiberdi	bird
bern	burn
bernam	burn
bernamap	burn
bernap	be burnt
bernapwan	burnt
berndap	burn
bernim	burn
bernimap	burn
berrim	bury
berrimap	bury
berrit	be
bes	best
bet	bat
bethdei	birthday
betlin	battle
betri	battery
bewabe:d	bowerbird
bewulf	werewolf
beya	bear
bi	be
bi:k	beak
biNga	hand
bib	beef
biba	fever
bibi	breast
bibim	hit
bibj	beach
bida	bitter
bidabat	feed on
bidim	beat
bidrum	spread out
bif	beef
bifo	before
bifwud	beefwood
big	big
big pipul	adults
bigadam	forget
bigbala	boss
bigbala bi	bee
bigbala hil	mountain
bigbigwan	big
biges frog	big
biges gwena	goanna
bigeswan gel	girl
bigibigi	pig
bigimap	pick up
bigin	pick
biginini	baby
biginini bla yimayirri	bream
bigis	important
bigmaus	talkative person
bigmob	big
bigmob waiya	wire
bigoj	because
bigsan	eldest son
bigstom	storm
bigwan	adult
bigwan blanbo	bat
bigwan blekwan ent	ant
bigwan blekwan igal	eagle
bigwan bluwan ent	Big Blue
bigwan boi	big boy
bigwan braba perit	parrot
bigwan dog	big
bigwan flai	bee flies
bigwan gelwan keinggurru	kangaroo
bigwan kain bi	bee
bigwan lijad	big
bigwan longwan naif	big
bigwan men	big boy
bigwan perit	parrot
bigwan pijin	Dove
bigwan raunwan frog	frog
bigwan rili gras	spinifex
bigwan sta	Sirius
bigwan tadul	big
bigwan tomiyok	axe
bij	fish
bijidimbat	visit
bijin	Creole
bijin inglij	Creole
bijing	fish
bijitim	visit
bijnet	fishnet
bijnij agen	ceremony
bijok	fish hawk
bijuman	bitumen
biki	biscuit
biknik	picnic
bikos	because
bilanggid lijad	Chlamydosaurus kingi
bildim	build
bildimap	build up
bildimbat faiya	set afire
bili	billy
bilib	believe
bilibim	believe
bilibong	billabong
biligen	big
biligout	billy goat
biligut plam	billygoat plum
biliken	billycan
bilim	feel
bilimap	fill
bilyid	billiards
bin	bean
bin kadim	circumcised
bina	could have
binabeg	spinifex
binana	banana
bindiyai	bindi-eye
binga	finger
bingga	arm
bingganeil	fingernail
bingk	pink
binij	complete
binijap	finish
binijim	complete
binijimap	finish
binijimof	finish
binijlain	finish line
binja	hair
binji	belly
binji - ajad	belly
binjigija	facing each other
binjim	pinch
binjimof	finish
binjing	fence
birridak	wood duck
birrim	spear
bisi	busy
biskit	biscuit
bisnis	ceremony
bitawan	bitter
bitj	beach
biya	alcohol
biyad	beard
biyain	after
biyainpat	stern
biyainwei	after
bla	about
bla burdiflawa	stamens
bla digimat	yamstick
bla enimul	fat
bla im dadi	his father
bla jogim yem	wooden
bla main	my own
bla menija waif	missus
bla smok	pipe for smoking
bla solwoda tri	long
bla spiya	sharp
bla wajim	soap
bla woda	dirty
blad	blood
bladat	fast
bladim	plait
blading	plaiting
bladwoda	flood
bladwud	Black
bladwud tri	bloodwood tree
blai	bee
blain	blind
blainai	blind
blaing skwirrel	sugar glider
blainwan ai	blind person
blaiwei	fly away
blajbala	proud
blakam	block
blakamap	block
blanbo	aeroplane
blanda	about
blandi	plenty
blandibala	adult
blandim	hide
blandim misalb	balance oneself
blanga	about
blanga hu	whose
blanga wanim	why
blanged lijad	frilled lizard
blangit	blanket
blant	blunt
blantwan	blunt
blas	proud
blatnim	flatten
blau	whose
blawa	flour
blawabeg	grey hair
bleda	bladder
bleidpat	blade
bleim	accuse
bleimim	accuse
blein gabarra	bald head
bleingkit	blanket
bleiyim	blame
blek	black
blek bod	blackboard
blek karant	blackcurrant
blek krela	cockatoo
blek plam	blackcurrant
blekbala	Aboriginal
blekbala beki	native
blekbat	blackbutt
blekberi	blackberry
blekbrim	black bream
blekdak	goose
blekhed sneik	black-headed python
blekkaran	blackcurrant
blekplam	black
bleksoil	black soil
blekwan	black
blekwan blanbo	black
blekwan bod	blackboard
blekwan sengraun	mineral sand
blekwan woda	fresh
blenggid irriwul	lizard
blenggit lijad	frilled lizard
blesidwan	blessed
blet	blunt
bletwan	blunt
blidim	bleed
blidin	bleed
blidinim	bleed
blijiman	policeman
blijimanmob	police
blo	blow
blo nos	blow nose
bloap	blow up
blobeg	white
blobeg heya	grey
bloim	blow
bloim nos	blow nose
bloimap	blow up
blok	block
blokim	block
blombat	blow
blouk	bloke
blout	float
blowabeg heya	white hair
blowap	blow up
blowim	blow
blowin	breathe
blowum	blow
blu	blue
blu:n	balloon
bludang	blue-tongue lizard
bluin	breathe
bluinbluin	puffing
bluren	wrens
bo	about
boa	bore
bobala	pity
bobo	goodbye
bodam	bottom
bodamwan	bottom
bodi	body
bodipat	body
bodji	dented
bodl	bottle
bodl tri	bottle tree
bodo	photo
boeba	forever
bog	bog
bogabain	echidna
boget	forget
bogi	baptise
bogi graun	spring
bogibain	echidna
bogibat	swim
bogiples	boggy place
bogubain	echidna
bogupain	echidna
boi	Aboriginal
boi bla sista	sister’s son
boi jugabeg	honeycomb
boifren	boyfriend
boil	big
boila	abcess
boilap	bubble up
boilim	boil
boilim det woda	churn up
boilimap	boil
boiling	boiling
bois	voice
boiwan	male
boiwan plein keinggurru	kangaroo
bojiwan	dented
bojwan	boss
boks	box
boksin	box
bol	ball
boldan	fall down
boldi	bald
bolibol	volleyball
bololo	fruit
bolorum	follow
bolwan	bald
bolwan gabarra	bald
bolwan hed	bald
bom	bomb
bomereing	boomerang
bomit	vomit
bon	Alawa
bonaro	bow
bonbala	skinny
bonbij	bony bream
bonfish	bonefish
bonibala	skinny
boniboni	colt
bonic	bionic
boniwan	bony
bonpis	bonefish
bontain	semitrailer
borlorlo	wild passionfruit
born	be born
bornim	born
borred	forehead
borrimat	pour out
bos	boss
bosimran	boss around
bosmen	boss
boswan	chief
bot	boat
botampat	lower leg
botampat bla fut	footsole
botboi	deckhand
botji	sporty
botmen	deckhand
botul	bottle
bout	boat
bra	brassiere
braba	correct
brabli	appropriately
brabli hotbala spring	boiling hot
brabliwan	excellent
brabliwei	correctly
brait	be afraid
braitnim	frighten
braja	brother
brambi	brumby
bran	brown
branda	verandah
brandum	stamp
brash	brush
bratha	brother
braun	brown
braunkren	heron
braunwan	babbler
breb	brave
bred	bread
breibwan	brave
breigap	be
breigim	break
breigimap	break up
breigimdan	breakdown
breigimof	break off
breikat	break out
breikdan	breakdown
breikin	break into
brein	clever
breinibala	clever
brejwoda	fresh water
brekfis	breakfast
brekim	open
brekimap	smash
bren	brain
brend	brand
brendim	brand
brentj	branch
brentjis	branch
brenyu	modern
bresh	fresh
brespleit	breastplate
brida	bull
brijing	preaching
briks	bricks
brim	bream
bringim	bring
bringimap	bring up
bringimat	bring out
bringimbek	bring back
briskit	chest
brogibrogi	frog
brogim	break
brogimap	break
broginwan	broken
broginwan tus	broken
brok	become broken
brokam	break
brokdan	breakdown
brokim	open
brokin tus	broken
brokum	break
brolga	brolga
brom	from
brom deya	after that
brom dijan	from this
brom iya	from this
brom tharrei	over there
brom wujei	where from
brud brud	bandicoot
brudbrud	bandicoot
bruginbala	broken
brum	broom
bubumap	put up
budimin	put in
budum	kick
budum bingga	clap
budum mijelb	show off
budumat	place out
budumbek	best
budumbudum	accelerate
budumdan	put down
budumon	put on
bugika	bookkeeper
bui	hey you
buj	bush
buj dilib	bush
buj gadi heya	bushes
bujabe:d	butcherbird
bujabed	Australian magpie
buji	female genitals
bujigat	cat
bujiget	cat
bujij	branches
bujin	poison
bujinim	poison
bujul	female genitals
bujum	push
buk	book
bul	bull
bulab gula	anger
bulak	cattle
bulangkanga	currant
bulap	full
bulap binji	full
buldan	fall down
buldan la	trip
buldosa	bulldozer
buligi	cattle
buligi milk	cow’s milk
bulmun	full
bulngerri	bull
bulrora	bull-roarer
buludang	blue-tongue lizard
bulugi	bull
bulugi roud	track
bulum	pull
bulum adbala	pull hard
bulumap	pull off
bulumat	take away
bulumat burrum faya	get
bulumwei	pull away
bulurrum	follow
bulwan	full
bumareing	boomerang
bumbum	buttocks
bundu bundu	pregnant
bundubundu	pregnant
bungga	penis
bunggawa	boss
bunggul	corroboree
bunjarra	jealous
bunji	if
burdagul	spear
burdi	pretty
burdiblawa	flower
burdiflawa	flower
burdiflawa be:d	friarbird
burdiperit	parrot
burl burl	lungs
burlburl	lungs
burlum	pull
burluman	cattle
burnbala	skinny
burro	from
burru	from
burrum	from
burrum jeya	after that
burrumap	erect
burrumin	fill
burrunggitgit	dwarf
bus	bush
bush	be confused
bush purteida	yam
bush rod	track
bush trek	track
bushi	shade
but	boot
butbolgran	playing field
butja	circumcise
butjabe:d	butcherbird
butjabed	butcherbird
butleis	bootlace
butwok	walk
da	the
dab	Dove
dabul	fold
dabulap	double up
dabulum	bend
dabulum mijelb	curl up
dabulum misalb	curl up
dabulumap	crumple
dadan	that one
dadei	that way
dadi	dad
dadiwan	big
daga	bread
daga bla be:d	bird food
dagat	eat
dagatginu	dug-out canoe
dagblu	dark blue
dai	die
daib	dive
daibadak	cormorant
daibin	dive into
daim	time
daimap	tie up
daiya	tyre
dak	dark
dak dak	duck
dakat brekfis	eat breakfast
dakbala	black
dakdak	duck
dala	dollar
daldu	enough
dalim	do
dalim laya	lie
dalimof	scold
dalmidalmi	eel
dan	down
danab	turn off
danap	go back
danaran	turn over
danbek	turn back
danda	gecko
dangki	donkey
dangulim	tangle up
danim	turn
danim la ston	become
danim misalb	turn over
danimran	turn around
dap	top
dardi	dirty
dardibala	black
dardim	make dirty
dargibuj	turkey bush
darran	that
darrei	that way
das	dirt
dasko	fight
dasol	that’s all
dastim	get
dat	that
datbala	he
datmaj	so much
datwan	that one
daun	bottom
daunwei	underneath
dawuda	clan
dayimap	tie up
dea	there
debada	death adder
debala	be deaf
debil-debil	Satan
debul	card game
debul debul	praying mantis
ded	dead
dedbreik	brake
dedi	father
dedliwan	dangerous
dedsilip	deep sleep
dedwan	dead
dedwan lif	dry wood
def	obsessed
defada	death adder
definimapwan	loud-sounding
dega	dagger
deganaif	dagger
dei	day
deibreik	daybreak
deigidawei	take away
deigim	take
deigim la im	pick up
deigimap	take up
deigimat	pump out
deigimbek	return
deigimdan	dismantle
deigimoba	take over
deigimof	take off
deigimwei	remove
deilait	daylight
deim	dam
deinimdan	dislike
deinja	dangerous
deipumap	record
deis	days
deitaim	daytime
deiting	dating
dekimat	take off
dekimat ola sid	skin
delim	tell
dem	them
demba	damper
dembala	ten
dembum	stamp
den	then
dens	dance
densa	dancer
derribang	trepang
deset	desert
det	that
det taim	some time later
detdet	bird species
detibala	dirty
detiwan peipabak	dirty
detlat	those
detlot	those
detmatj	that much
detmob	those
detwan	that one
deya	there
di	tea
di:l	deal
di:pinim	deepen
dia	dangerous
dibala	deep
dibulbe:d	cuckoo
dibuldibul	Satan
didibaba	lotusbird
didiwu	dive
didn	didn’t
dif	differential
difren	different
difren blekwan ston	stone
difrin	different
difrinkain	different
digam	dig
digamap	dig
digan la top	god
digim	dig
digimat	break open
diginstik	yamstick
digulim	tickle
digulwan	ticklish
dijan	here
dijan iya	this here
dijan mob	these
dijan pleis	here
dijaniya	this
dijaridu	bamboo
dijei	hither
dijei la tap	above
dijkantri	here
dijlot	these
dilaj	be uncooperative
dilib	tea
dilibeg	basket
dilibeig	penis
dilim	deal
dilyarr	tree
dim	dim
dina	dinner
dinakemp	temporary camp
dinataim	dinnertime
dinga	flying fox
dinggi	dinghy
dinggo	big
dinkis	metal box
dip	deep
dip graun	deep place
dipwan	deep
dipwan wota	deep
dipwoda	deep
dirdibawuba	lotusbird
dirr	fart
dirrawu	dive
dirrwu	dive
dis	this
disaid la	this side of
dish	dish
dismob	these
disobidiyans	be disobedient
displeis	here
dissaid	this side
distaim	this time
diwait	black duck
diwaj	duck
diya	dangerous
diyafela	forbidden
doa	door
doda	daughter
dodjim	dodge
dog	dog
doitjim	avoid
dojim	bypass
dojingbat	zigzag
dojingwan	zigzag
dokta	doctor
doktabala	clever man
dola	dollar
doldol	cucumber
dolidoli	doll
don	do not
dongki	donkey
dongki singat	bray
donkenggarru	kangaroo
donmada	regardless
dono	don’t know
dop	blouse
dot	louse
dowa	door
drabum	drop
drafhos	horse
drai	dry
drai buj	dry
drai stik	dry
draiba	driver
draibam	yeast
draibim	drive
draim	dry
draimat	dry out
draipleis	dry place
draisisan	dry season
draiwan pleis	dry place
draiwan ples	dry place
draiwan wud	dry wood
draiyim	dry
draiyimap	dry
drajim	believe
dram	drum
dran	drown
drangginbala	drunk
drangginmen	drunk
drangginwan	drunk
drangkimap	make drunk
drangkin	drunk
drangkinmen	drunk
dranim	drown
drap	collapse
drapam	drop
draun	drown
draundim	drown
dregin flai	dragonfly
dregli	directly
drein	drain
dreinimat	strain
drenggilim	choke
dres	dress
driNgim	drink
driNk	drink
dribala	three
drim	dream
driman	ceremony
drimin	dreaming
drimintaim	dreamtime
dringgim	drink
dringk	alcohol
dringkim	drink
dringkimap	drink
dringkin	drinking
drip	drip
droim	draw
drongimbala	drunk
drop	drop
dropim	drop
drowim	draw
druhones	true
du	do
dubala	married couple
dubala samkain gras	two kinds
dubala sta	stars
duim	do
duingap	hiding
duit	do
dum	do
dumaj	big mob
dumaj bon	fish
dumaji	because
dumbat rongwei	do wrong
dumeni	big mob
dumeni iya	big
dunda	grass
dupal	fruit
duwa	door
duwumbek	retaliate
dyu	dew
dyugong	dugong
e:pot	airport
e:tim	hurt
ea	hair
eagidap	shiver
eapat	hair
eapin	hairpin
eba	ever
eben	heaven
ebi	heavy
ebidi	every
ebri	every
ebribit	belly
ebribodi	everybody
ebridei	everyday
ebrijing	all sorts
ebrinait	every night
ebritaim	every time
ebriwan	everyone
ebriwei	everyway
ebriweya	all over
ebriwik	every week
ebriyiya	every year
ed	head
edben	headband
edeik	have a headache
edimap	add up
egen	again
egret	White
egskus	excuse
ei	agreed
eig	egg
eijdi	leprosy
eijins spai	spy
eindit	isn’t it
einggim	hang
eingka	anchor
eingkul	ankle
eingul	ankle
einjul	angel
eit	eight
ejij	ashes
eks	axe
eksadint	accident
eksaidid	excited
eksiden mani	compensation
eksident	accident
ekskyus	make excuses
eksplenim	explain
eksul	axle
elabo	elbow
elafant	elephant
eldes baba	brother
eldiswan	eldest
elideis	early days
elifan bibi	caterpillar
eliganda	helicopter
elikopta	helicopter
elti	healthy
embyulin	ambulance
emiyu	emu
emti	empty
emtiyim	empty
en	and
enami	enemy
enbed	antbed
enbeg	handbag
endap	conclude
endimap	conclude
endlim	cope
enemi	enemy
eni	any
eni kain bumareing	boomerang
enibodi	anybody
enijing	anything
enikain	any kind
enikain fish	fish
enimo	anymore
enimul	animal
enimul leidi	zookeeper
enimul trek	track
enimulen	zoo
enitaim	anytime
eniwan	anyone
eniwei	anyway
eniweya	anywhere
enkiju	handkerchief
enpus	purse
ensa	answer
enseram	converse
enserim	answer
ensimbek	reply
ent	ant
enta	enter
entbed	antbed
entlayon	antlion
entlayon hol	camp
epi	happy
epul	apple
eram	hear
erambat	hear
eroplein	aeroplane
erradrom	aerodrome
erro	arrow
eshis	ashes
esid	acid
eya	air
eyastrip	airport
faib	five
faibala	five
faidim	fight
faifaklok	five o’clock
fail sneik	file snake
fail snek	file snake
failsinik	file snake
faindat	find out
faindim	birth
faindim trek	balance oneself
fait	fight
faita	fighter
faiting	fight
faiya	fire
faiya laitim	light
faiyaflai	firefly
faiyapleis	fireplace
faiyastik	fire
faiyawud	firewood
falarimap	follow
falorum	follow
fam	farm
fama	farmer
fan	fake
faniwan	funny
fans	dream
fas	fast
faswan	fast
faswei	fast
fatha	father
fathawan	large
feibrit	favourite
feis	etc.
feisap	confront
feja	feather
fektri	factory
femili	family
femilibaik	tandem bicycle
fens	fence
feri	fairy
fes	etc.
festaim	before
fet	fat
fetha	feather
fetinimap	fatten up
fetwan	fat
fetwan flai	insect
fetwan lijad	plump
feya	fair
fid	feed
fidim	feed
fig	fig
figit	forget
figitim	forget
fiksim	fix
filamekta	film star
filap	fill
filim	feel
filim mijalb	feel
filim nogud	lame
filimap	fill
filing	feeling
filing wori	worry
finga	finger
fingaboad	road sign
finish	finish
finishimap	finish
fis	fish
fish	fish
fish fin	fin
fish skeil	fish scales
fishamen	fisherman
fishing	fishing
fishnet	fish net
fishok	eagle
fishskeil	fish scale
fisin lain	fishing line
fiskimap	fix
fit	appropriate
fitim	fit
fladwoda	flood
fladwota	flood
flai	bee
flai flai	fly
flain foks	flying fox
flaiwei	fly away
flaiying	fly
flawa	flour
flayim	brush away
fleiba	tasty
flet	flat
fletinimap	flatten
fletwan	blunt
fletwan kantri	country
fletwan la botam	pelvis
fletwan ston	antbed
fletwan wumara	flat
fli	flea
flik	flashlight
flikim	flashlight
floa	floor
flot	float
flout	float
flu	flu
fo	about
fobala	four
foeva	forever
fog	dew
foget	forget
fogud	permanently
fogudwail	for a while
fok	crotch
foldan	be born
foling wota	waterfall
folingsta	falling star
folorum	follow
folt	fault
fored	forehead
forred	forehead
fosim	force
fotaim	four
foto	photo
fowildraip	four-wheel drive
frait	afraid
fraitin	afraid
fraitin bla samting	be
fraitinim	frighten
frant	ahead
fren	friend
fresh	fresh
fresh wada	freshwater crocodile
fresh woda	crocodile
freshwada tadul	fresh-water turtle
freshwoda	fresh water
freshwoda tadul	fresh water
fri	free
frisa	refrigerator
frog	any kind
frog singat	croak
from	from
fromdeya	after that
frut	fruit
ful	blood
fulap	full
fuldan	born
fulmun	be on top
fulspi:d	very fast
fulwan	full
fut	foot
fut reis	footrace
futbol	football
futwok	hike
fyu	few
fyunral	funeral
ga	faeces
gabadap	be
gabadi	cup of tea
gabadimap	cover up
gabaditaim	midafternoon
gabalili	gecko
gabarra	forehead
gabarrimap	cover
gabarrumap	cover
gabigabi	calf
gabijdin	garbage can
gabilili	lizard
gabman	government
gabmanmen	government man
gabo	May
gaburrumap	cover
gada	must
gadabila	caterpillar
gadem	have
gadem loda teis	sugar
gadem redwan burdiflawa	turkey bush
gadem riliwan lif	pale yellow
gadem sheim	ashamed
gadem teist	tasty
gadem waitwan bak	eucalypt
gadi	have
gadi gula	angry
gadi neil	echidna
gadi shotwan nek	cormorant
gadi smel	smell
gadi wing	aeroplane
gadim	with
gadim bigwan bodi	fat
gadim heya	hairy
gadim munda	big
gadim sheid	hairy
gadim teist	sugary
gadimap	carry
gadin	garden
gadina	gardener
gaga	faeces
gagadu	cockatoo
gaggag	mother’s mother
gai	be proud of
gaidim	guide
gaja	ah
gajak	have intercourse
gajim	catch
gajim gadi hen	catch
gajin	cousin
gajinga	penis
gajulum	embrace
galap	gallop
galapinabat	move around
galegdim	collect
galga	soldiers
gali	Little Creek
galimap	climb
galoping	fast
gam	come
gaman	come
gaman tru	come through
gamap	come
gamat	come out
gambek	come back
gambla	gambler
gambling	gamble
gamdan	come down
gamwarra	lizard
gan	cannot
ganfaita	gunman
gangabarri tri	black plum
ganjal	bite through
ganwo	give me
gapula	partially blind
garabas	milkwood
gardiya	European
gardudu	penis
garlai	beg
garnda	buttocks
garndai	private parts
garnia	lily root
garra	will
garrabarri	corroboree
garram	have
garrapas	kerosene wood
garri sowa	no good
garria	white man
garrigarritj	quickly
garrim	with
garrim munda	big man
garrimap	carry
garrinyirringba	lots
garritj	addicted
gats	guts
gatseik	diarrhoea
gedam	get
gedap	arise
gedawei	escape
gedim	get
gedin	arrive
gediya	arrive
gedof	alight
geim	beef
geing	gang
geingap	gang up
geit	gate
gejap	hurry
gejim	catch
gejim fish	catch fish
gejimap	arrive at
geko	gecko
gel	female
gel plein keinggurru	aggressive
gela	galah
gelfren	girlfriend
gelgandri	playboy
gelwan	female
gelwan keinggurru	female
gelwan pikinini	girl
gelwan redwan keinggurru	kangaroo
gem	meat
geman	fake
gemanwan	fake
gembul	gamble
geng	ally
gerd gerd la	trip
gerrap	get up
geswan	carbonated
get seibd	saved
getamat	get out
getambat	get
getof	alight
gib	give
gibap	abandon
gibgon	continue
gibim	give
gibirrim	give
gibit	give
gibit jik la	teasing
gibit la im	pick up
gibitat	distribute
gibitbek	give back
gid	get
gid-	get
gidap	arise
gidat	get out
gidawei	escape
gidbus	be confused
gidgon	start
gidigidi	kid
gidim	get
gidin	get in
gidkot	be arrested
gidredi	get ready
gidsok	be shocked
gidstak	be stuck
gidwail	be angry
gidwasawei	be cast away
gigim	kick
gija	each other
gijim	Take Photo
gijimap	reach
gila	galah
gildi	killer
gilgai	surface water
gilgil	crawl
gilim	hit
gilinim	clean
gilti	guilty
gin	again
ginggong ginggong	donkey
ginu	canoe
girlgirl	blunt
girria	European woman
girringgo	Mexican
girriwei	get away
git	arrive
git wail	angry
gita	guitar
gitamen	guitar player
gitap	get up
gitbog	bog
gitdan	descend
gitin	enter
gitjaj	become angry
gitredi	get ready
gitstak	get stuck
gitwail	be angry
givin	give in
giyaman	gammon
giyaman la jambodi	joke
giyeman	lie
glaimap	climb
glas	glass
glu	glue
go	become
go akros	cross over
go blekwan	darken
go dakbala	black
go fishin	go fishing
go hot	cook
go kwik	hurry
go la said	go alongside
go lalid	lead
go lida	lead
go olijem ston	become
go plei	play
go wokabat	Togo
goan	come on
goap	ascend
goap raitap la	go up to
goat	come out
gobek	go back
goda	future tense
godan	descend
godan bla fish	catch fish
godan la	go down to
gogi	cockatoo
goin	enter
goj	big
gokidu	cockatoo
gola	get angry
golajambap	be annoyed
goldinwan	gold
golmaja	schoolmaster
golweja	cold season
gon	begone
gopas	pass by
goran	go around
goran goran	turn
goran la seremoni	corroboree
gos	ghost
got	got
got fletwan bingga	saltwater
gotjgulwe	brainless
gowan	go on
gowat	go out
gowat hanting	Togo
