kriol	english
gowe trabling	go
gowei	come off
gowena	goanna
gowin	go into
gowon	gone
grab	caterpillar
graindapwan	ground
graindim	grind
graindimap	grind
grainding	grinding
grajim	dig
grajim mijalb	scratch oneself
grajimat	break open
grajimbat	mine
grajin	digging
grajopa	grasshopper
gralim	chastise
grambul	growl at
gran gabarra	crazy
grandimap	grind
gras	grass
gras kantri be:d	quail
gras wolabi	grass
grashopa	grasshopper
graul	growl
graulim	growl at
graun	dirt
graungraun	spin
grebum	grab
grei	grey
greib	grave
greibij	crayfish
greibum	scrape
greibyad	cemetery
greid	grade
greida	grader
greihaun dog	big
grein	flake
greip	grapes
greiwan	grey
grenbaja	grandfather
grendoda	granddaughter
grendota	grandchild
grenfatha	father’s father
greni	granddaughter
grenkid	grandchildren
grensan	grandchild
gri	be uncomfortable
gri bekbon	be uncomfortable
griba	creeper
gridi	absorbed
gridibalawei	greedily
gridijambap	greedy
gridiwan	greedy
grila	gorilla
grin	green
grin gras	grass
grin plam	green plum
grinad	rawhide
gringgo	Mexican
grinplam	green
grinwan	black
grinwan frog	frog
grinwan gras	green grass
grinwan wadi	branch
gro	grow
gro fetwan	fat
grofish	crayfish
grog	alcohol
grogmen	drunkard
gron	groan
gropa	groper
growap	bring up
growim	grow
growimap	bring up
grugidgrugid	zigzag
gubala	quickly
gubarl	rubbishy
gud	enjoyable
gudan	go down
gudanaf	adequate
gudbai	goodbye
gudbala	good
gudbalawei	good
gudbinji	be
gudbinjiwei	happy
gudei	good day
gudfren	good friend
gudhanta	hunter
gudinaf	good enough
gudjob	good job
gudlak	good luck
gudmob	many
gudnyus	good news
gudsmel	good smell
gudsmelwan	fragrant
gudtaim	good time
gudwail	long while
gudwan	good
gudwan bif	edible
gudwan bla dagat	edible
gudwan hanta	good
gudwei	nicely
gugum	cook
gugunja	sheep
gula	anger
gula jampap	angry
gulajambap	be very angry
gulamajarri	catfish
gulijab la	close to
gulijap	close
guliman	coolamon
gululu	upset stomach
gulum	name
gulya	colon
gumbu	faeces
guna	anus
guna boi	male homosexual
gundarl	black plum
gunderri	fish species
gundie	wallaby
gundu-gundu	card game
gura	faeces
guraunguraun	go around
gurdibu	kangaroo
guriny	callous
gurranda	brolga
gus	black swan
gusaba	cassava
gusbri	gooseberry
gutjarloda	forever
gwei	begone
gwena	goanna
gwigbala	quickly
gwin	enter
had	hard
hadbala	hard
hadwe:k	work hard
haf	half
hafa	how far
hafbilib	half believe
hafded	half-dead
hafdedwan	half-dead
hafenhaf	half-and-half
hafwei	halfway
hagambat	hug
hai	high
hai ples	high place
haibala	high
haibala haibala	high
haidim	hide
haiding	belting
haijekim	hijack
haimen	boss
haipat	arm
haiwan beingk	bank
haladei	holiday
hambag	annoy
hambag la	disturb
hambagam	annoy
hambe:ga	hamburger
hamini	how many
hampi	humpy
hampibek	humpback
handrid	hundred
hanggri	be
hanggribala	hungry
hanggriwan	hungry
hani	honey
hanta	hunter
hantamat	chase out
hantimwe	chase away
hanting	hunt
hariyap	hurry
harrap	above
harrimap	heighten
hasbin	husband
hat	heart
hatjamp	be surprised
hatjampwei	surprisingly
hau	how
haulong	how long
haumatj	how much
haumeni	how many
haus	house
hauspat	cabin
haw	how
hayimap	heighten
hea	hair
hearibala	hairy
hebi	heavy
hebibala	be heavy
hebin	heaven
hebiwan	heavy
hed	forehead
hedbend	headband
hedeik	have headache
hedkol	head cold
hedpat	head
heidim	hate
heilstom	hailstorm
heilston	hailstone
heing la	stay with
heinggitjif	handkerchief
heingim	hang
heingimap	hang up
heinging	hang
helbam	assist
helfaiya	hellfire
helikopta	helicopter
help	help
helpa	helper
helston	hailstones
helth	health
helthiwan	healthy
helthsenta	clinic
hema	hammer
hendimbek	return
hendimdan	hand down
hendimoba	hand over
hendl bla eks	axe handle
hendul	handle
hendulim	control
hendulum	control
heng ded	be hanged
hengon	hang on
hengrined	hand grenade
hepi	happy
hepin	happen
hepining	happening
hepiwan	happy
hepiwei	happily
herdam	bruise
herding	ache
herriwan	hairy
het	hat
hetben	hatband
heviwan	heavy
heya	hair
heya belt	etc.
heya bla bodi	body hair
heya bla gabarra	hair of head
heyapat	hair
hi	he
hidim	hit
hikap	hiccup
hil	hill
hilsaid	hillside
hipap	heap up
hipbon	hip bone
hipdap	heap up
hipimap	heap up
hipopotamis	hippopotamus
hit	attempt
hit la hed	knead
hitam	hit repeatedly
hitim	hit
hitimbek	hit back
hitimdan	knock down
ho:nim	butt
hol	all
hol bla entlayon	bed
holbit	all
holdambat	hold
holdim	hold
holdimap	hold up
holdimat	hold out
holdimbek	hold back
holidei	have a holiday
holiwan	holy
holmob	all
holo la tri	cave
hololog	hollow log
holot	all
hom	home
hon	ear
honet	hornet
hop	hop
hos	horse
hosis	horse
hosmen	horseman
hospel	hospital
hospil	clinic
hot	hot
hotbala	hot
hotdog	hot dog
hotenam	heat
hotsisan	hot season
hotwan	be
hotwan win	hot
hotweja	dry season
hotwetha	dry season
hu	who
hu blanga	whose
hugimap	hook
huk	hook
hukspiya	hooked
hukwan bumareing	boomerang
hulot	who
humob	who
i	he
i:ldu	good one
ibimap	heap up
idim	eat
idimap	eat
idiwul	ear
if	if
igal	eagle
igalok	eagle
igin	again
igul	eagle
igulok	eagle
il	hill
iliman	shield
im	he
im deya	that
im deya gin	there
im jarre	that way
im lait lait	firefly
im twistim	twirl
imbala	them
imdubala	theirs
imin jwelap	plump
imin meikim song	maker
imin stak	stuck
imiyu	emu
imjelp	herself
imolabat	their
impotant	important
impotantwan	important
impotanwan	big
impotn	important
imrait	okay
imselp	herself
imti	empty
imwan	his
imwei	his way
indit	isn’t it
ingk	ink
inglijwan en neitib	bee
injaid	centre
injin	engine
ink	ink
inkarij	encourage
inlau	in-law
insaid	inside
insaidpat	flesh of fruit
insaidwan	inner
insaidwei	inner
insek	insect
intit	tag question
intjurens	insurance
intu	into
ip	heap
ipap	heap up
ipbon	hipbone
ipin	heap up
irim	hear
iring	earring
irrim	feel
irrim mijalb	feel
irriwol	ear
irriwul	ear
irriwul jandap	take notice
is	east
iself	her
isi	easily
isibala	easy
isibalawei	easily
isiwan	easy
itj	each
itjaw	cough
itji	itchy
iya	here
iya gin	here
iyal	heel
iyaring	earring
jabala	sharp
jabalajabala	spiny
jabi	comprehend
jabi-jabi	old women
jabibala	clever
jabiru	jabiru
jabo	cat
jabum	chop
jad	that
jadabat	almost
jadan	that
jadap	blocked
jadawei	that way
jadim	shut
jadimap	block
jadjim	judge
jadlot	those
jadmob	those
jag	jug
jagadi	soft
jagadim	buck
jagadimwei	discard
jagar	saliva
jagim	cast
jagim fishinlain	go fishing
jagimad	throw out
jagimdan	drop
jagimin	throw in
jagirri	soft
jagul	penis
jagurl	testes
jainaman	Chinaman
jainbud	signboard
jaini	gold
jaint	giant
jaiyant	giant
jaja	goodbye
jajak	tree species
jajanga	goodbye
jakim	sack
jaldu	OK
jalg	jab
jalg la	pierce
jalgi	bitter
jalgibij	barramundi
jalgifish	bream
jalgim	pierce
jalimadawuk	passion
jalis	be jealous
jaliswan	jealous
jalk	dig
jalkim	inject
jamanjim	accuse
jambum	jump
jamimi	vagina
jamirdi	grandfather
jamp	jump
jamp jamp	jiggle
jampa	jumper
jampap	jump up
jampdan	jump down
jampin	dive in
jampoba	jump over
jampof	alight
jamugu	vagina
jan	sun
jandap	be
jandi	ceremony
jandim	send
jandimap	plant
jandimat	send out
jandimbek	send back
jandimdan	send down
jandimlong	hurry
jandimwei	send away
janggul	jungle
jangidap	east
jangidapwei	easterly
jangudan	sunset
jangudanwei	westerly
janurr	head cold
jaot	shirt
jari	feel sad
jarl	copy
jarramap	close
jarran	that
jarrimap	stir
jarriny	birthmark
jarru	card game
jas	just
jat	suppose
jat roud	Milky Way
jatberlberl	bird species
jatimap	shut
jatsol	that’s all
jawa	sour
je:min	German
je:sti	thirsty
je:t	shirt
jea	there
jedalim	saddle up
jedirl	saddle
jefit	sheriff
jeganen	secondhand
jegapbala	editor
jegbeg	large bag
jegimap	check
jei	they
jeid	shade
jeidubala	they
jeijimap	chase
jeik	shake
jeikim	shake
jeil	jail
jeilgeim	card game
jeilhaus	jail
jeim	embarrassment
jeimwan	same
jeinj	change
jeinjbek	give change
jeinjeinj	alternate
jeinjim	change
jeinjoba	exchange
jeisim	chase
jej	church
jek	jack
jek dongki	donkey
jekapim	rebel
jekit	blouse
jekjan	injection
jel	alone
jelas	be
jelas la im	be
jelasbala	jealous
jelisim	envy
jelp	each other
jem	jam
jemani	Germany
jemwij	sandwich
jenyo	sour
jerrimoni	ceremony
jes	breastbone
jesim	chase
jeya	there
jibdim	move
jidan	be
jidan kwaitbala	sit quietly
jidan la rok	strong
jidaning	be sitting
jididi	quail
jidim	cheat
jidindan	sit
jigi	brown
jigi aul	Masked Owl
jigi yem	yam
jigiaul	boobook
jigibala	ant
jigibala la	teasing
jigibala teist	bitter
jigibalawei	dangerously
jiginat	stick out
jiginim	pierce
jigininbala	penetrating
jigininbalawan	penetrating
jiginok	firebird
jigiwan	dangerous
jigiwan aligeda	saltwater crocodile
jigiwan aligeida	crocodile
jiji	horse
jik	cheek
jikibala	anger
jikin	chicken
jikinok	brown goshawk
jikinwan	cowardly
jikiwan	aggressive
jilip	sleep
jilipiai	be sleepy
jilipibala	sleepy
jimadwan	clever
jimbijamba	fish species
jimejim	destroy
jimel	smell
jimelim	smell
jimogiyai	blind
jimok brom faya	heat haze
jimok burrum faya	heat haze
jinareishan	generation
jineik	snake
jinek	snake
jing	sing
jing jing	suck breast
jingat	call out
jingat yagay	ouch
jingating	calling
jingdan	sink
jinggabat	consider
jinggali	be
jinggarlibala	proud person
jinggi	decomposing
jingginat	bark
jinginat	calling
jingit	think
jingulili	blackberry
jini dongki	donkey
jinigap	sneak up
jinikim	sneak up
jinjabred men	gingerbread man
jinma	shark
jinuj	muscle
jip	potato chip
jiraf	giraffe
jirjirdok	pardalote
jis	just
jistabat	almost
jit	sheet
jitja	sister
jo	beard
jo:tbala	short
job	job
joba	sober
jodaba	sort of
jodbala	short
jogim	choke
jogum la wada	soak in water
joinap	join
joindap	joining
joinim	join
joinimap	join
joinin	join in
joininwan	joined
joint	stalk
jojpan	saucepan
jok	spring
jolda	shoulder
joldableid	shoulder blade
jop	shop
jotkat	shortcut
jotmoa	berry
jow	show
jowing	showing
jowum	show
jubij	jewfish
jubuk	dive
judum	shoot
juga	sugar
jugabeg	honey
jugabeg bi	sugarbag
jugabeg blai	bee
jugabeg flai	bee
jugalib	tree
jugi	four-wheel drive vehicle
jugong	dugong
jugubeg	wild honey
juju	corroboree
jukdan	bend over
jukijuki	four-wheel drive vehicle
jukjuk	chicken
juljul	horny
julou	slow
julubala	slowly
julugan	banana
jululuma	navel
julurruma	umbilical cord
jumbago	native
jumelim	smell
jumok	smoke
jumokin	smoke
jumokum	cure
junggai	boss
jungungu	tobacco
junikeik	damper
jupdan	stoop down
jupi	blackcurrant
jupjup	soup
juriny	horny
jurratj	diarrhoea
jurribala	three
jurru	through
jus	choose
juspat	juice
jusum	choose
jutbi	blackcurrant
juwa	sore
juwei	swearing
juweirring	swearing
juweta	cardigan
juwing	swing
juwis	drooling
juwum	chew
jwalorrum	swallow
jwelap	swell up
jwolap	plump
jyu	dew
ka	car
kaan	cannot
kaan kemp	forbidden
kabadap	rub
kabadi	drink
kabaditaim	midafternoon
kabarroba	cover over
kabed	cupboard
kaburrumap	bury
kad	cards
kadim	break open
kadimap	carry
kadimat	interrupt
kadimbek	carry back
kadjak	have intercourse
kain	kind
kainaba	type of
kainbala	kind
kainbalawei	kindly
kainwan	kind
kainwei	kindly
kaiyabam	tree
kajin	mother-in-law
kajolaim	cuddle
kajulum	embrace
kaka	defecate
kakaji	goanna
kala	colour
kala olisem bandiyan	brown
kalarim	colour
kalawan	coloured
kalbiri	cavalry
kaliko	bedspread
kaliku	tent
kalimap	moonrise
kam	become
kaman	come
kaman futwok	walk
kamap	arrive
kamat	arrive
kambek	come back
kambek bumareing	boomerang
kambiny	egg
kamdan	come down
kamel	camel
kamin	come in
kaminap	appear
kaminat	come
kamiya	come here
kampani	company
kampeni	company
kampiny	egg
kamyunyan	communion
kan	cannot
kan wok	weak
kanbis	canvas
kanboi	convoy
kangfu	hitting
kangurri	yam
kansil	council
kantim	count
kantri	country
kantriman	fellow countryman
kantrimen	countryman
kap	calf
kapati	cup of tea
kapatidaim	tea break
kapiket	copy
kapinta	carpenter
karajong	kurrajong
karant	currant
karanyirringba	lots
kard	playing card
kardamap	carry
karraborri	corroboree
karrakkarrak	darter
karrijong	kurrajong
karrijong tri	tree
karrim	carry
karrimap	carry
karrimap la sholda	carry on shoulder
karrimat	carry
kasin bratha	cousin
kasin sista	cousin
kastad epul	tree
kastam	custom
katakros	shortcut
katam	cut
katamat	cut out
katapila	caterpillar
katapwan	sliced
katim	cut
katimap	rain
katlain	line
kau tok	moo
kauboi	cowboy
kauboi but	boot
kauboi kantri	hilly area
kaundim	count
kaundimap	count up
kaundimat	count out
kayay	be horny
kayilimap	gather
ke:li	curly
keib	cave
keib bla nos	nostril
keik	cake
keingurru	kangaroo
keipok	kapok
keipok tri	bush
kelenda	calendar
keliko	canvas
kelinda	calendar
kemp	bed
kemp bla insek	camp
kempinat	camp
kemra	camera
kemul	camel
kenbis	canvas
keraban	caravan
kerisin	kerosene
kerisinwud	kerosene wood
keriyim	carry
kerosinwud tri	Hakea
kerriimap	carry
kerrim	pregnant
kerring	pregnant
ket	cat
ketfis	catfish
ketfish	catfish
ketul	cattle
ki	key
kid	child
kidikidi	kid
kidni	bladder
kijimap	arrive
kikim	kick
kikin	alive
kikinap	throw a tantrum
kil	be killed
kila	killer
kilaimap	climb
kilim	hit
kilim fish	catch fish
kilogrem	kilogram
kilomita	kilometre
kin	able
king	best
kingbraun	snake
kingfisa	flycatcher
kini	skinny
kinu	canoe
kinu pedul	canoe paddle
kipgon	continue
kipgon jalg	jab
kipum	have
kisim	cuddle
klab	social club
klaimap	climb up
klas	classroom
klaud	cloud
klaud garrim ren	cumulus
klaun	clown
kleba	clever
klebabala	clever
klebabalamen	smart person
klebabalawan	clever
klebabalawei	cleverly
klebawan	clever
klebawei	cleverly
klei	clay
klepin	clap
klia	clear
klif	bank
klin	clean
klinap	clean up
klinbala	clean
klinbalawan	clean
klinim	clean
klinimap	clean
klinskin	blank tape
klinwan	clean
kliyawan	clear
klok	clock
klos	close
klosim	close
klosimap	close up
klothing	clothing
koat	court
kob	cough
kodan	cotton
kofi	coffee
koginatgrob	coconut grove
kokanat	coconut
koki	parrot
kokreg	loincloth
kokroj	cockroach
kokwud tri	corkwood
kol	charcoal
kol bla faiya	ashes
kolbala	cold
kolbala pleis	cool place
koldringk	cold drink
kolimdan	cool down
koljeid	cool shade
kolsek	coalsack
kolsik	common cold
kolsisan	cold season
koltaim	cold season
kolum	call by name
kolwan	be cold
kolweja	cold weather
kolwetha	cold season
kolwethataim	cold season
komic	comic
komyuniti	community
kona	corner
konkinberri tri	tree species
kopa	copper
kopawan	copper
kopi	copy
kopiwan	copied
koris	chorus
koroburi	corroboree
kos	because
kot	coat
kothaus	courthouse
kotimbek	question
kotin	cotton
kotkeis	court case
kout	coat
kowarri	shield
krai	cry
kraingki	angry
krasam	cross
kraul	crawl
kraulabat	crawl
kraun	crown
krean	crayon
kreb	crab
kreibij	crayfish
kreikinap	ragged
krein	crane
kreingki	foolish
krek	crack
krek-krek	crack
krekim	break
krela	cockatoo
kren	White
krik	creek
krikbed	Little Creek
kriket	cricket
krikid	crooked
krikidwan	crooked
krim	cream
kriol	Creole
kripa	creeper
kripap	creep up
kripul	cripple
kripulap	cripple
kripulbala	crippled person
kripulum	cripple
kripulumap	cripple
kripulwan	crippled
kro	crow
kroba	crowbar
krofish	crayfish
krokadail	alligator
krokodail	crocodile
krol	crawl
krol kriol	crawl
krol krol	crawl
kroling	crawling
kros	cross
krosim	cross
krosing	crossing
krosoba	cross
kroswei	across
krukidwan	bend
krukmen	criminal
krul	cruel
krulbala	cruel
krulbalawei	cruelly
krulwan	cruel
krusifai	crucify
krusing	cruise
kudarrgu	brolga
kudun	unable to
kuk	cook
kukabarra shel	shell
kukubarra	kookaburra
kukum	cook
kukwan	cooked
kul	cold
kulaman	coolamon
kuldring	cool drink
kuliba tri	tree
kuluj	clothes
kulujap	nearby
kulumap	cool
kumbu	urine
kumirr	blackberry
kundarr	tree
kuninyarra	tree
kuwana	corner
kuwi	koel
kwait	calm
kwaitbala	ill
kwaitbalawei	quietly
kwaitnim	quieten
kwaitok	firebird
kwaitsneik	snake
kwaitwan	quiet
kwaitwei	quietly
kweil	quail
kwesjinim	question
kwesjinmak	amazement
kwestjan	question
kwestjanim	question
kwik	fast
kwikbala	quick
kwikbalawei	quickly
kwikenkwik	quickly
kwin	queen
kyusim	milk
la	along
la bilibong	frog
la bodam	underneath
la frant la	this side of
la lid	ahead
la midul	halfway
la solwoda	she-oak
la ston	rock snake
la tharran	to that
la tri	green tree frog
labam	like
labda	have to
labinjaga	kookaburra
labli	lovely
ladim	allow
laf	laugh
lagijat	do
lai	lie
laib	alive
laibala	alive
laibalawan	live
laibliwan	active
laibwan	live
laidim	light
laidimap	light
laif	life
laiga	like
laigim	appreciate
laik	like
laik bandiyan	snake
laik barramandi	catfish
laik wijidi	soft
laim	lime
laim woda	limewater
lain	line
lainap	line up
lainbala	lying
lainimap	line up
laininrein	thunderstorm
lais	lice
laisan	dog tag
lait	fire
lait peipa	tracing paper
laita	cigarette lighter
laithawus	lighthouse
laitim	light
laitim faiya	light
laitimapbat	light
laitining	gecko
laitti	weak tea
laitwan	float
laitwan jindiyindi	tree sp
laitwan kain tri	tree
laiya	lie
laiyan	lion
laiyawan	liar
laiyawei	lyingly
laiyinbala	liar
laiyinbalawan	liar
laiyinbalawei	lyingly
laja	leather
lajaim	last round
lakamap	lock
laki	lucky
lakiwan	lucky
lambarra	father-in-law
lamp	lamp
lampwan	nugget
landin	land
lang	lungs
langa	along
langa wadi	blue-tongue lizard
langgus	big words
languna	black swan
langurr	ceremony
lanswud	tree
lanswud.	lancewood
larram	allow
larramdan	let down
larramgo	leave
las	at last
lasnait	last night
laswan	final
laswik	last week
lasyiya	last year
lat	lot of
lau	law
laudis	very loud
laumen	lawmen
laus	fleas
laya	lie
laya la mi	joke
lebden	left hand
lebden wolabi	wallaby
lebdenjaid	left side
lebelwan	level
leben	eleven
lebenbala	eleven
lebul	be
lebulum	level
leda	ladder
ledim	allow
ledim go kolbala	feel cold
ledim kol	cool
ledimgo	let go
lef	left
lefdoba	leftover
leften	left hand
leftenbala	left-handed
leftensaid	left side
leftoba	leftover
leftobawan	leftover
leg	back wheels
legpat	extremity
leidan	lay down
leidan beliap	lie on back
leidanlabat	lie down
leidaran	later on
leidi	lady
leig	lake
leigpat	leg
leim	lame
leimbala	lame
leimbalawan	lame
leimwan	lame
leisibala	lazy
leisiwan	lazy
leisiwei	lazily
leit	late
leitbala	late
leklek tri	dead tree
lektrik	electric
lembala	lame
lemen	lemon
lemp	lamp
lempsten	lamp stand
len	learn
lenggwij	big words
lenim	teach
lenswud	tree
leped	leopard
lepisi	leprosy
leprasi	leprosy
leprasimen	leper
les	let’s
lesi	sleepy
lesin	lesson
leta	book
letim go slipriwan	drop
li:d	lead
lib	leaf
lib la keib	rock wallaby
liba	liver
libdimap	lift up
libin	be involved in
libt	lift
libum	forget
libum biyain	leave behind
lid	bone
lida	ahead
lidamob	leaders
lidawan	leading
lidim	lead
lidimap	lift up
lidimbat	lead
lidpat	lid
lif	leaf
lij	leech
lijad	lizard
lijenam	hear
lijinim	hear
lik	leak
likim	lick
liklik	drizzle
lil	little
lil poisin sneik	snake
lilbala	little
lilbalawan	little
lilbe:d	quail
lilbit	a little
lilbit blekwan	black
lilbit lait braun	flying fox
lilbit longwei	close up
lilbit redwan	chestnut-coloured
lilbit redwan buj	plant sp
lilbit waitwan	black
lilboi	boy
lilboiwan	boyish
lilboiwei	boyishly
lildak	duck
lilgel	female
lili	lily
lili rut	lily root
liligal	kite
lilil	little
lililwan	small things
lilirut	water lily
lilisid	lily
lilistem	young
lilkid	child
lilkrela	corella
lilkwin	lazy
lilpleiwan	mini
lilwail	while
lilwan	a little
lilwan bidul	beetle
lilwan bingga	finger
lilwan blanbo	flying squirrel
lilwan blekwan ent	ant
lilwan braunwan frog	frog
lilwan dakdak	duck
lilwan dog	dog
lilwan ebriweya	blue-tongue lizard
lilwan gras lisad	skink
lilwan hol	hole
lilwan jugabeg	little
lilwan ketfish	small
lilwan krela	corella
lilwan lif	leaf
lilwan lijad	skink
lilwan lilwan buj	shrub
lilwan lilwan fish	fish
lilwan lilwan lijad	lizard
lilwan lilwan stik	plant
lilwan skopiyan	scorpion
lilwan stik	branch
lilwan tomiok	axe
lilwan yangwan barramandi	barramundi
lilwantaim	in childhood
lim	branch
lin	bend
lindim	lend
linggo	big words
linggu	big words
linngu	language
lip	leaf
lipda	crane
lipdim	lift
lipdimap	lift
lirrga	lizard
lirri-lirri	tree sp
lisin	listen
lisining	listen
lita	litre
lo	culture
lobala	low
lod	load
loda	lots
lodabum	lot of
lodan	below
lodanwan	low
lodimap	load up
loding	cargo
log	log
logabat	look around
lok	lock
lokap	jail
lokimap	imprison
loklok	lizard
lokpat	lock
loli	sweet
loliwoda	soft drink
long	long
long ai	honeycomb
longam	long-sleeved
longbala	long
longiswan	very long
longnek te:tul	turtle
longtaim	early days
longtaim pasdam	long time ago
longtom	long tom
longwan	high
longwan wadi	long
longwan yemstik	fighting
longwei	distant
longwei kantri	foreign country
los	lost
lostim	lose
lourr	hug
lowan	low
lowan graun	island
loya	lawyer
lua	fishing lure
lubis	louvres
ludan	low
lugabdim	look after
lugabdum	look after
lugap	look up
lugaran	search
lugarta	look after
luginat	observe
lugunat	look
lujim	lose
luk	look
lukabat	look
lukabdimbat	be kind to
lukaftum	look after
lukap	look up
lukaran	glance back
lukarta	have
lukat	lookout
lukbek	glance back
lukdan	look down
lukinat	observe
lukluk	be dead
lukum	look at
lumbuk	pigeon
lus	die
lusum	forget
mEn	person
ma	begin
mabul	marble
mabultri	ash tree
mad	mud
madi	muddy
madkod	cod
madwan	mad
magabala	yam
magaramap	ruin
magim	mark
mai	my
maiamaya	mad
maila	pass
main	mine
maind	brain
maindim	care for
maindim mijalb	balance
maindimbat	be kind to
mainmak	good
mainwan	mine
maiself	me
mait	might
maitbi	don’t know
maitbi madkod	rock cod
maitj	vow
maiyal	mad
maiyalbala	wild
maj	much
majan	mustn’t
majarim	mustering
majblai	fly
majurrum	assemble
mak	brand
mak la samting	mark
makam	mark
makim	brand
makraun	idle
mala	us
malat	mullet
malawarra	tree
mali	mother-in-law
mama	food
mami	aunt
mami en dadi	mother and father
mami milk	breast milk
mamiwan	female
mamman	grandfather
mangei	very good
mangga	vagina
manggrul	stupid
mangki	monkey
mangumangu	be promiscuous
mani	coin
maniboks	money-box
manija	boss
manjong	useless
mans	months
mant	month
manth	month
mantin	hill
manuga	money
maont	mount
mardpi	maybe
marid	be married
marlabangu	mussel
marluga	old man
marrayin	song
marrunggun	bush fruit
marrut	save for
mas	mask
masal	mussel
masbi	maybe
mashrum	mushroom
maskitu	mosquito
mastarrim	gather
masul	mussel
matha	mother
matiriyal	material
matj	many
maus	bandicoot
mauspat	microphone
mawus	rat
med	engrossed
medisin	disinfectant
medmed	mad
medwan	mad
megajin	magazine
megit	maggot
megm	copy
megpai	Australian magpie
meigapwan	artificial
meigidat	figure out
meigim	add
meigim dai	hit
meigim goin	enter
meigim gudbala	explain
meigim hip	push in
meigim leidan lagijat	face down
meigim misalb strong	balance oneself
meigim smolwan	crumple
meigim strongwan	strong
meigimbat spiya	make
meik	cause
meikim	build
meikim dirrwu	throw in
meikim im hevi	make heavy
meikim jamp	frighten
meikim nois	drone
meikim shabala	make sharp
meikit	succeed
meikshuwa	make sure
meil	cheque
mein	important
meinggo	tree
meit	friend
meit bla wanarr	possum
meitmeit	pair
mejis	matches
mejurim	aim
mekim hot	cook
mekim jigibala	cheeky
mekim nois	make sound
mekim sikbala	no good
mekshuwa	ensure
mel	cheque
mela	us
melabat	our
melan	melon
men	Aboriginal
mendim	mend
mendimap	mend
menggo	tree
mengrob tri	mangrove tree
meni	many
menida	crocodile
menija	manager
menijim	manage
mep	map
merigoraun	merry-go-round
merrit	marry
merritmen	married man
mes	mess
meshurum	measure
mesij	message
mesika	massacre
mesinja	messenger
met	mat
metbaga	mad
metj	match
metjis	matches
mi	I
miau	miaow
mibala	we
midap	meet up
midap. midim	meet
midim	meet
miding	meeting
midnait	midnight
midsap	meet up
midubala	we
midul	centre
miduleij	middle-aged
midulnait	midnight
midulpat	middle
midulwan	middle
midulwan bingga	finger
miga miga	leech
migamiga	flea
migim	make
mijalb kantri	alone
mijalb mijalb	different
mijamet	together
mijelb	oneself
mijelb kantri	alone
mijelb mijelb	individually
mijij	European woman
mikenik	mechanic
mikibul	bull
miksap	be confused
miksimap	add
milat	we
milga	hip bone
milimili	book
milk	breast
milk sneik	milk snake
milk snek	milk snake
milkim	milk
milking kau	milking cow
milkiwe	Milky Way
milkiwei	Milky Way
milksneik	milk snake
milktri	kerosene wood
milwan	middle
milwoda	deep water
milyan	innumerable
mimba	remember
min	mean
minalabat	we
minbala	we
mindim	mend
mindubala	we
mini	lots
minim	we
minimminim	blink
mining	meaning
minista	clergyman
minjim	crush
minminlait	Ghost light
minyu	we
mipela	we
mira	mirror
mirakul	miracle
mis	miss
misal	itchiness
misdim	miss
miselp	herself
misgida	mosquito
mishan	mission
mishanri	missionary
mishin	machine
mishin gan	machine gun
misis	European woman
mista	mister
misteik	make mistake
mistim	miss
mistimmistimbat	stagger
mit	meat
miting	meeting
moa	more
mob	associates
mobaja	further
mobayl	mobile phone
mobeda	better
mobedawan	better
mobedawei	better
modabaik	motorbike
modalans	motorboat
modibaik	motorcycle
modiga	car
moghaus	morgue
mokim	mock
molobondok	lizard
moni	money
moning	morning
moning sta	Venus
moningsta	Venus
moningtaim	morning
monsta	monster
mop	broom
mopim	mop
motha	mother
moyi	tree
mub	move
mubabat	jiggle
mubingwoda	moving water
mubum	move
mudiga	motor car
mudubaik	motorbike
muduga	car
mug mug	mopoke
mukmuk	owl
mula	daughter
mulabanda	gecko
mulalu	root
mulungwa	killer
mun	month
mun gudan	set
mun kamap	moonrise
munanga	European
munanga eks	axe
munda	lame
munlait	moonlight
munmen	mythical being
munyumunyu	father-in-law
murlurri	cousin
murnda	muscle
murndamen	muscleman
murrunggan	blackcurrant
muv	move
muvin	move
na	along
nada	another
nadasaid	other side
naf	adequate
naga	breechcloth
nagap	tire
nagid	naked
nagop	finish work
naif	knife
nain	nine
nainbala	nine
nais	good
nait	night
naitaim	dark
naitaul	boobook
naitingeil	nightingale
naja	other
najalot	different group
najamob	others
najan	another
najapleis	another place
najasaid	another side
najatu	other two
najawan	another
najawei	another direction
najing	in vain
nak	knock
nakat	fall asleep
nakimbek	retaliate
nakimdan	hit
nala nala	fighting
nalanala	club
namba	letter
nambawan	big
namo garrim rein	clouds
nanga	along
nangi	this one
nap	already
napkin	napkin
nardi	Sand Frog
narro	narrow
nat	neg
nat maj	few
natful	empty
natha	another
natwes	worthless
nau	now
nayn	nine
ne:boswan	excited
neba	didn’t
nebal	navel
nebamain	don’t
neidib	aborigine
neidib jumbago	native
neidib kompenyan	brolga
neidibket	feral cat
neigidbala	naked
neigidwan	naked
neil	fingernail
neilap	be nailed
neilbush	tree
neilfish	fish species
neilimap	nail up
neim	name
neimim	name
neitib ket	cat
nek	nape of neck
nek bla be:d	neck
nekdei	next day
nekleis	necklace
nekstaim	next time
nekswan	next
nel bla fish	fin
nenigout	goat
nerro pleis	narrow place
nes	bed
neshan	nation
nest bla be:d	bed
net	basket
